#{"t_start": 1704381736.5762048, "env_id": "None"}
r,l,t
100.010257,948,10.053951
141.857979,1643,26.818669
50.896437,572,32.852386
250.547569,1950,54.761392
45.448984,447,59.499952
96.370168,873,68.227582
198.239502,1722,84.632938
81.03484,775,95.063895
121.19663,1148,106.651257
167.252522,1891,125.648507
63.294604,684,135.733368
20.069249,192,138.030675
205.752439,2001,157.080148
96.206852,1385,170.461884
16.026661,106,171.971777
119.453475,1391,188.614716
55.555909,544,194.566348
198.961882,1378,208.300714
215.216035,2001,231.253684
155.189225,1007,241.155097
81.57848,955,250.483964
57.067308,853,259.460935
14.379186,97,260.98274
108.998218,1152,275.655459
87.99091,951,285.460622
80.665678,767,293.111909
230.367447,1437,309.664147
283.670908,2001,329.034597
168.204892,1264,341.652214
142.81958,1961,364.495278
167.97628,1472,379.482578
14.084791,91,380.924912
30.927092,311,384.388452
64.163399,427,388.889834
108.570758,1411,405.002228
13.371449,104,406.477414
25.370684,315,409.962825
95.489745,815,418.248617
287.54519,2001,440.169635
236.779021,1632,457.163988
88.818986,686,464.635597
174.859248,1686,481.193997
173.322772,1078,494.634732
158.715304,934,503.699505
126.414089,1199,515.47231
116.174943,1351,531.39046
156.373242,1306,543.856369
172.816237,1043,554.070631
126.857801,713,561.144621
194.195082,2001,583.086457
308.31393,2001,601.80354
84.6914,797,612.461609
168.997134,1618,627.584853
75.242551,1096,638.177305
92.853164,840,646.36298
99.079468,1050,659.358404
155.516686,1413,672.893404
116.448816,1123,683.547312
110.72308,1177,697.950321
94.232985,1144,708.882866
126.922073,1214,721.483088
14.400861,113,723.118403
131.159549,1163,735.276638
140.078199,1367,751.759806
99.540124,1537,767.036649
172.264612,1799,788.263133
54.137644,368,792.583931
42.454904,472,797.98938
62.868963,390,802.360985
123.718603,1036,813.431997
137.89597,1462,831.381929
123.273528,1400,845.593805
122.845033,1646,861.895705
93.587573,897,871.468127
110.379978,1047,884.97681
122.251771,916,893.991542
67.505669,741,901.528033
123.637377,1534,920.313649
213.631689,1353,934.446509
63.91013,389,939.090289
130.657281,1044,949.631444
305.986169,2001,972.525597
88.366836,806,981.275227
91.465768,906,991.22468
134.817294,1122,1003.14625
83.584952,1132,1018.002689
97.849716,958,1028.152918
29.090165,294,1031.533987
284.921331,2001,1051.649798
225.349278,1759,1073.189315
118.877906,885,1082.615396
92.70458,762,1090.516749
59.598722,582,1096.784331
151.156139,1257,1112.597622
327.973067,2001,1133.358726
100.688019,976,1143.438584
174.691696,1571,1163.51466
95.036092,726,1171.167907
112.269261,1172,1183.686173
90.814289,890,1196.183838
65.332898,738,1204.399874
32.935027,309,1208.107613
16.477449,109,1209.828166
93.355737,1253,1222.648347
93.062566,528,1228.508733
94.541839,871,1237.58741
36.304073,353,1244.257463
210.694149,1643,1261.114359
225.769494,1498,1276.845163
119.310026,1039,1290.385968
146.69534,1311,1304.20383
30.668401,407,1308.59915
103.611303,1017,1318.801154
152.183973,1112,1329.616026
112.4738,1074,1343.057418
67.743134,427,1347.577497
120.8215,1809,1365.093985
86.689487,1045,1378.922729
124.950282,998,1389.446398
196.994371,1766,1407.573498
122.023854,1304,1423.681448
75.57742,1214,1435.89361
102.708526,1265,1448.108492
129.160938,1174,1460.019892
86.900788,825,1471.654721
71.90239,711,1479.509642
127.583423,1092,1490.765508
122.562171,1024,1501.01177
123.544837,1134,1515.549258
332.044982,2001,1535.300842
64.459207,667,1542.140867
144.190093,917,1551.849007
65.313433,661,1561.574128
185.825093,1627,1577.424312
124.881056,1140,1588.880943
22.624734,174,1591.109886
69.126215,689,1601.213204
208.046871,1324,1614.640623
62.207545,640,1621.159626
128.503966,1530,1636.318422
43.367971,414,1640.690384
95.308766,828,1652.426015
83.423492,804,1661.138186
9.151988,161,1663.209343
58.613098,726,1670.536388
190.598018,1664,1687.36561
100.829156,710,1697.612015
90.773237,980,1707.995753
25.550381,286,1711.41769
34.0163,405,1715.959477
244.380876,2001,1739.641851
163.657219,1980,1760.068507
82.394355,835,1769.394019
120.191435,1239,1784.934705
14.965489,237,1787.911189
96.498945,717,1795.409256
222.836379,1344,1808.925854
188.871714,1530,1825.168613
21.062547,154,1830.502172
63.354248,655,1837.751637
62.400806,636,1844.461761
140.943665,1414,1858.241555
136.405284,1576,1877.455935
238.560374,2001,1897.597601
79.385717,455,1902.663859
224.21103,2001,1925.916797
170.032161,1329,1939.102722
100.875009,1269,1951.72373
74.522683,710,1959.003612
63.654593,840,1971.144891
190.660091,1670,1987.838236
143.240101,1253,2000.310572
109.417523,985,2012.905558
97.229785,972,2022.595609
58.428218,411,2027.148826
112.375407,1096,2038.757346
59.916311,687,2045.930173
133.310988,1325,2062.643754
124.542211,1274,2075.083241
92.022111,1004,2085.252984
132.584963,1609,2105.032655
127.983578,1209,2117.967353
98.584563,1276,2131.111408
