#{"t_start": 1704392888.8135028, "env_id": "None"}
r,l,t
64.859125,703,8.017405
24.784378,277,11.390295
50.492601,886,20.168075
71.525406,1030,30.38262
49.400839,706,37.332484
135.866013,1468,54.44576
49.142261,819,62.629924
43.803799,565,68.286146
22.551344,273,71.272272
96.920797,1464,85.340339
67.56637,1306,100.901089
64.846359,750,108.317997
53.860208,685,115.174957
77.252311,1052,125.338687
61.163205,706,135.320201
81.882016,1326,148.011899
78.666142,772,155.683199
69.287979,668,162.362589
54.09082,572,168.039163
84.46521,1146,181.877949
64.179664,1000,191.665749
46.002402,702,198.583548
132.485751,2001,220.184122
194.031521,2001,239.344304
56.98146,800,247.095545
90.071349,821,255.28643
95.371722,1212,270.503993
97.504722,1189,281.89123
141.777826,1757,298.692394
19.041061,419,306.077083
102.85271,1267,318.909064
59.911998,723,326.128448
59.575217,1093,336.831616
69.11111,934,348.850102
140.470204,1829,366.294938
67.753864,880,374.931861
188.305793,1978,396.558948
63.974326,699,403.379546
93.747903,1654,419.206571
57.836463,1068,432.520304
124.052777,1785,450.551625
34.361555,502,457.533097
20.197628,122,459.506441
65.625255,925,470.161823
80.561932,1104,487.378281
16.662814,230,490.983069
56.369169,561,497.93217
89.197126,1417,515.853472
209.588939,1690,540.299853
72.516102,651,546.77062
129.156461,2001,565.685315
47.999926,654,573.137085
134.539276,2001,597.881984
115.133858,1482,612.549282
85.0158,1454,629.326503
47.851815,451,633.92351
69.70659,1134,644.992015
121.953258,1291,657.299619
110.649611,1148,671.25379
76.435491,603,677.370886
117.51313,2001,696.294792
45.419875,439,700.855963
70.919992,955,713.011401
43.316769,328,716.493484
92.212308,1050,726.57801
144.888127,1288,738.947422
119.124896,1138,749.946418
53.616716,545,758.396628
150.484717,2001,777.520582
18.038265,184,779.74909
107.722297,1461,796.742078
55.060803,421,801.155082
69.243875,1095,811.69326
37.665146,401,815.897266
98.349488,1169,827.095242
79.024248,1037,839.998709
78.920353,913,848.939521
80.868259,1005,858.627149
116.320835,2001,877.586485
72.666479,846,888.940372
82.059411,1401,902.425259
116.323639,1096,913.068384
141.438248,1483,930.256439
85.588343,687,937.079285
98.895407,1112,947.861525
16.58873,218,950.394748
127.942537,1597,968.476197
65.046738,663,975.120379
82.528618,1236,987.101624
70.30345,1021,997.031245
97.286049,1072,1010.470513
80.25061,1027,1020.322658
21.449483,140,1022.126761
109.275545,1215,1033.749037
142.050746,2001,1055.344242
52.477187,809,1063.504858
192.273323,1672,1079.517078
169.421097,1359,1095.532152
44.365572,821,1103.769336
22.669961,152,1105.715024
182.123888,2001,1124.43479
101.813892,1447,1141.241094
51.115739,1197,1153.066797
83.38349,1622,1168.731451
147.658009,1562,1186.605121
53.279697,502,1191.734074
97.283196,868,1200.208718
42.389537,626,1206.495193
96.213045,1088,1217.045966
57.532689,766,1227.612276
40.81596,582,1233.427682
35.781601,436,1237.925538
56.193094,797,1245.78557
88.298526,915,1254.693322
119.815349,1676,1273.711688
55.239823,552,1279.408104
33.646887,419,1283.843412
76.43576,995,1293.456239
92.726595,1806,1313.395992
59.57415,899,1322.15655
94.458767,796,1329.99213
82.928162,1707,1346.320879
40.881934,355,1353.022232
111.249802,1147,1363.963305
57.604153,729,1371.178167
81.694196,1217,1382.940582
164.550077,1616,1400.962314
93.342621,781,1408.692656
70.076216,750,1416.136417
90.272675,1057,1426.405272
39.585028,552,1431.958822
61.106403,793,1442.64044
168.337574,1484,1456.859718
74.660927,998,1466.724324
66.529884,890,1475.507389
197.435209,2001,1497.455888
77.966545,1095,1508.244062
103.28108,1438,1524.741884
97.845599,1216,1536.57434
135.215739,2001,1555.57269
106.967411,1015,1568.387208
157.041955,1446,1582.299562
61.519805,502,1587.459923
288.123817,2001,1609.654
151.943993,1312,1622.217396
