#{"t_start": 1704668005.270918, "env_id": "None"}
r,l,t
0.920256,161,0.938215
0.014896,17,1.229082
0.021904,18,1.517842
0.026977,19,1.800799
0.05011,21,2.088616
0.030087,22,2.388003
0.031047,21,2.693298
0.070157,20,3.001523
0.041311,23,3.328122
0.04223,20,3.623379
0.041796,20,3.927569
1.927007,226,5.021679
0.029942,21,5.352647
0.035513,19,5.671317
0.061749,22,5.979519
0.022165,20,6.281599
0.034988,22,6.613379
2.543749,332,8.148473
0.65307,87,8.660392
0.051229,20,8.957553
0.021529,20,9.236115
0.070535,21,9.519262
0.028013,18,9.796635
0.018425,19,10.079049
0.059001,22,10.361983
0.021846,18,10.644273
0.080168,22,10.93266
0.041356,19,11.218865
0.438704,81,11.735895
0.037499,20,12.024996
0.033752,19,12.302365
0.043974,22,12.603685
0.962616,205,13.589791
0.010556,18,13.89258
0.053078,20,14.216364
0.016037,21,14.530929
0.023677,19,14.814857
1.58659,217,15.811675
0.024876,20,16.101455
0.009203,17,16.372555
1.407758,175,17.221508
1.275241,356,18.671885
0.037081,19,18.947815
0.672271,122,19.584774
0.016969,19,19.861559
0.035069,20,20.140887
0.034975,21,20.433134
0.016457,21,20.723558
0.023654,23,21.030982
0.03139,22,21.359928
0.025893,21,21.715137
0.053115,23,22.089734
0.039026,20,22.437356
0.048217,22,22.838773
0.03128,21,23.194052
0.040745,21,23.504983
0.067494,25,23.849974
2.510643,522,26.060111
0.044261,19,26.34757
0.53824,72,26.816814
0.068971,21,27.103761
0.026235,20,27.400224
1.120684,209,28.390521
0.022515,19,28.687057
0.089459,22,28.987848
0.043282,22,29.288747
0.089922,22,29.695972
0.06063,21,30.054427
0.057476,21,30.389198
0.034611,20,30.726808
0.523943,126,31.417732
0.038757,19,31.712446
1.800048,287,34.187785
0.012484,18,34.491089
0.594678,93,35.120253
1.206938,238,36.246345
0.023848,19,36.541641
0.042315,21,36.85521
0.026701,21,37.151635
0.054693,21,37.455372
0.04173,19,37.779422
0.017487,18,38.101016
0.004433,20,38.408579
0.027998,21,38.753333
0.014701,20,39.047877
0.073879,25,39.36205
0.032651,20,39.670125
0.078679,25,39.999656
0.057843,21,40.318799
0.008507,19,40.645309
0.094317,23,41.007417
0.05058,22,41.295621
0.104628,24,41.599454
0.035801,22,41.886463
0.022499,19,42.186227
1.027209,129,42.876306
0.021903,22,43.17562
0.049538,23,43.48926
0.041121,23,43.798036
0.011203,20,44.084155
0.030459,19,44.361471
0.076593,24,44.669527
0.03424,18,44.960279
0.023234,18,45.236711
0.017214,19,45.509799
0.101092,22,45.799577
1.953091,238,46.920885
1.826432,185,47.780411
0.058038,25,48.079347
0.040938,26,48.399201
0.059985,23,48.714996
0.0346,21,49.017267
0.050715,21,49.320065
0.046711,20,49.606666
0.028967,20,49.894312
0.027558,19,50.174728
0.033633,18,50.458301
0.070418,23,50.754495
0.031254,22,51.051786
0.066996,21,51.351468
0.072905,23,51.653401
0.013942,19,51.936375
0.027907,21,52.221249
0.034421,21,52.506886
0.761452,80,53.006572
0.052709,23,53.301952
0.05973,20,53.588307
0.07758,20,53.88789
0.037809,22,54.225427
0.051924,23,54.573635
0.044209,20,54.884042
0.051644,20,55.196488
0.060079,23,55.511534
0.080624,26,55.823883
2.077344,178,56.718823
0.072805,20,57.107955
0.051127,20,57.489964
0.041375,20,57.853694
0.021719,22,58.185486
0.02659,22,58.481644
0.034497,20,58.767821
0.042969,21,59.068209
4.273265,352,60.543689
0.005479,21,60.845497
0.042792,19,61.141892
0.828616,71,61.616748
0.025865,21,61.916235
0.024915,21,62.2079
0.102394,22,62.499811
0.061074,21,62.804219
0.059967,20,63.100081
0.083703,22,63.38932
2.730957,337,64.773845
2.339583,277,65.960761
0.032091,23,66.277664
0.026872,19,66.571336
0.232183,94,67.10716
0.013315,20,67.390287
0.002657,22,68.57449
4.855931,787,71.638911
0.053896,20,71.943653
0.08852,21,72.268776
0.061476,20,72.581686
0.022187,20,72.902771
0.033764,20,73.20026
0.011137,20,73.499756
0.0781,23,73.803741
0.389299,121,74.509586
0.029722,19,74.848663
0.134621,64,75.327454
0.04371,19,75.619813
0.012533,18,75.914225
0.02014,18,76.218972
0.027216,22,76.513975
0.025667,18,76.797178
0.055857,21,77.090162
1.076663,168,77.92112
0.044791,19,78.205808
0.012123,19,78.501851
0.077692,21,78.799667
0.03448,20,79.089847
0.049783,22,79.418159
0.043102,19,79.699702
0.037301,19,79.984814
0.086996,22,80.306259
0.031381,19,80.598454
0.013287,20,80.880069
1.637273,305,82.214611
0.037336,21,82.503299
0.037332,22,82.809971
0.007579,18,83.096914
0.017666,19,83.396933
0.076983,24,83.711854
0.047346,21,84.017058
0.046193,21,84.320387
0.004511,20,84.610889
0.373254,77,85.138936
0.019439,19,85.435375
0.043519,19,85.729889
0.015626,23,86.040961
0.039822,22,86.346736
0.081962,24,86.653414
0.038725,19,86.959499
0.010675,19,87.258443
0.019652,21,87.562991
0.062932,22,87.877868
0.062003,22,88.19878
0.045909,20,88.498359
1.667207,241,89.636851
0.021842,22,89.960589
0.028264,19,90.285206
0.018087,18,90.582565
0.0231,20,90.87813
0.070612,24,91.190441
0.145859,26,91.525304
1.048261,134,92.293324
0.054728,20,92.602599
0.041263,27,92.949252
2.757948,628,95.888993
0.009084,19,96.17934
0.019289,19,96.471157
0.061405,21,96.782509
0.03121,20,97.113127
0.231801,102,97.701325
0.041321,19,97.991605
0.045277,24,98.340737
0.088035,23,98.698699
0.067634,21,99.105445
0.031945,19,99.44719
0.0335,20,99.77722
0.118039,29,100.11172
0.043345,19,100.396058
0.137109,25,100.706588
0.034628,20,101.00601
0.07275,23,101.304857
0.817634,302,103.593943
1.269306,139,104.334684
0.062732,22,104.641828
0.039453,27,104.975327
2.406311,203,106.014556
0.033828,23,106.337952
0.004774,17,106.619289
0.013517,18,106.908286
0.049249,20,107.196732
0.023027,20,107.499648
0.049058,19,107.80546
0.010811,18,108.083354
0.06984,23,108.381011
2.145741,303,109.75581
0.01525,20,110.051779
0.038755,21,110.339495
0.040441,19,110.614074
0.050808,19,110.900139
0.829791,126,111.580736
0.044728,21,111.874113
0.034594,22,112.179573
1.978819,259,113.331841
0.016171,19,113.603998
0.025495,20,113.881067
0.042095,21,114.170964
0.024496,20,114.454083
0.658045,320,115.796269
0.051367,25,116.095968
0.038568,22,116.387134
0.122474,26,116.710687
0.018331,21,117.011143
0.770847,113,117.639262
0.033101,21,117.91718
0.505298,148,118.653145
0.307675,154,119.423857
1.394146,290,120.797686
0.038427,21,121.12661
0.040438,22,121.455551
0.066612,22,121.744386
1.33396,114,122.420401
0.013246,18,122.774212
0.043037,20,123.091525
0.040026,19,123.416057
0.10679,27,123.76969
0.069078,22,124.07991
0.004127,18,124.371934
0.056774,24,124.668317
1.728204,137,125.372401
0.092329,26,125.678982
0.035282,20,125.97698
2.751849,561,128.458082
0.005594,18,128.742566
1.74199,190,129.652986
0.275972,69,130.923017
0.073355,22,131.225745
0.084809,24,131.517241
2.160478,289,132.769828
0.00651,18,133.058241
0.016178,18,133.354373
0.031277,20,133.64071
0.851232,130,134.335616
0.054306,23,134.636952
0.066739,24,134.939804
0.046759,20,135.228359
2.064908,216,136.217994
0.017116,23,136.525704
0.009436,20,136.802279
0.027703,19,137.074858
0.021989,22,137.3571
0.068424,21,137.650696
0.067439,19,137.942091
0.063239,21,138.243205
0.025897,19,138.533565
1.846781,331,139.912092
0.062955,24,140.210775
0.41731,121,140.851132
1.14763,195,141.734367
1.703665,260,142.868296
0.044334,22,143.196442
0.031413,19,143.511292
0.079341,23,143.847444
2.574521,389,145.450372
0.041995,25,145.750743
0.051119,18,146.02556
0.066727,23,146.317791
3.185806,313,147.653973
0.051409,20,147.954342
0.845142,273,149.134846
2.553303,406,150.751355
0.114114,24,151.05643
1.296054,118,151.713904
0.016879,19,151.994024
0.039911,20,152.28488
0.218977,37,152.631984
0.069253,21,152.946965
0.009163,18,153.23985
2.257759,282,154.489604
0.005436,23,154.790573
