#{"t_start": 1702737630.2474523, "env_id": "None"}
r,l,t
3.062706,458,4.960423
0.0,483,9.86685
0.173597,934,18.646898
0.0,331,22.007125
0.600004,1001,31.353917
0.0,506,36.263874
9.03229,522,44.359673
0.0,783,51.818529
0.57013,516,56.882194
12.949325,1001,66.16823
3.914644,894,74.451665
0.0,925,86.064128
0.0,695,92.763173
0.0,414,97.005456
0.0,539,102.178806
0.0,1001,111.369702
0.0,1001,120.496617
0.0,196,122.668906
0.0,427,129.952273
0.0,1001,139.110591
0.0,422,143.283876
0.0,576,148.724178
0.269398,882,156.835138
0.0,252,159.491767
6.858473,430,163.743271
2.333045,266,169.634654
0.0,496,174.385675
0.0,658,180.667535
0.0,1001,189.825414
0.0,707,196.419805
0.0,721,203.108316
0.0,721,212.969503
0.0,681,219.48632
0.0,942,228.206563
0.0,255,230.894451
0.0,464,235.395126
0.0,764,242.458655
0.0,325,245.740502
0.0,1001,257.962331
0.0,813,265.698654
0.0,229,268.199044
0.0,484,272.887259
1.736499,821,280.591757
0.0,220,283.013891
0.0,878,291.218559
0.0,380,298.204734
0.0,550,303.518086
0.0,225,305.955951
0.0,843,313.863518
0.0,391,317.770369
19.965615,627,323.6616
0.0,446,328.09987
0.0,479,332.819807
0.0,239,338.462625
0.0,516,343.541257
0.0,675,350.323852
0.0,556,355.809311
17.725526,397,359.825558
0.0,349,363.645013
0.0,430,368.249396
0.0,268,371.247596
0.0,617,377.141952
0.0,424,384.040481
0.0,416,388.143047
0.0,370,391.862396
0.0,337,395.269267
0.0,452,399.693973
0.0,402,403.689625
0.0,297,406.768389
0.0,501,411.606563
0.0,661,417.835572
0.0,237,420.392362
0.0,856,431.169201
0.0,612,436.958248
0.0,532,442.084357
0.0,1001,451.190057
0.0,818,458.770954
0.0,410,462.787199
0.0,543,470.725992
0.0,208,473.006547
0.0,602,478.734633
0.0,471,483.297694
9.487161,332,486.625332
0.006606,605,492.378113
0.0,1001,501.496783
0.0,390,505.364356
0.019713,1001,517.178038
0.0,398,521.08497
3.690603,999,530.189804
0.0,427,534.347016
0.0,747,541.274319
0.784673,266,544.052163
0.0,825,554.386063
0.0,429,558.58005
0.0,1001,567.688118
0.0,376,571.413779
0.14798,907,579.690326
0.0,335,583.051566
0.01193,976,594.743645
0.0,355,598.282843
0.0,416,602.335244
0.0,470,606.857755
0.00321,664,613.178867
0.0,842,621.08335
2.472463,809,628.678802
22.878648,626,637.380743
0.0,1001,646.536062
2.305184,232,649.030114
0.0,475,653.584706
0.0,1001,662.772497
0.0,236,665.304315
0.0,526,670.487492
0.0,1001,682.474803
0.0,370,686.178968
0.0,869,694.191588
18.392972,362,697.807076
0.0,293,700.807452
0.0,575,706.243592
8.371223,924,717.486069
0.0,319,720.718717
0.0,704,727.284979
0.0,1001,736.384214
0.0,525,741.364628
0.0,200,743.584525
0.0,535,748.666161
0.0,370,752.319179
0.0,556,760.412444
0.0,1001,771.084248
0.0,284,774.601319
0.0,441,779.163561
1.554843,1001,788.397951
0.0,411,792.491089
7.330068,1001,804.397746
0.0,883,812.509358
0.0,722,819.216215
0.001129,523,824.203994
0.0,256,826.889659
0.0,748,833.814871
0.0,613,842.332148
0.0,436,846.850456
15.742164,1001,855.993719
6.246613,822,863.57455
0.0,326,866.856469
0.0,530,871.886054
0.0,372,875.544083
0.0,267,878.328283
0.0,215,880.641234
0.0,188,885.407241
3.51326,878,893.42837
0.0,343,896.850791
0.030295,1001,906.067975
0.099858,971,914.931885
0.0,402,918.867835
0.0,853,929.508532
0.0,1001,938.648646
0.0,569,944.00658
0.0,635,949.949438
0.0,198,952.121636
0.0,827,959.70054
2.545997,1001,971.670287
0.0,308,974.828837
0.0,205,977.080029
0.0,500,981.880381
0.0,628,987.803575
0.0,565,993.246793
0.032858,462,997.732044
14.416467,1001,1009.642979
0.0,409,1013.674786
0.0,1001,1022.78663
7.547431,1001,1031.943842
0.0,332,1035.288043
1.396471,300,1038.366554
0.0,456,1042.78682
0.0,647,1051.634701
28.498168,1001,1060.790405
0.0,379,1064.572285
0.0,1001,1073.842841
0.0,652,1079.957396
15.751687,1001,1091.81505
0.0,874,1099.84805
0.0,762,1107.041201
14.727453,462,1111.492972
0.0,195,1113.631864
0.0,275,1116.489525
0.0,564,1121.832141
0.0,516,1126.747852
0.0,673,1135.827344
0.0,504,1140.625677
0.0,661,1146.798932
0.0,255,1149.455609
1.943073,513,1154.331377
0.0,739,1161.172727
0.0,293,1164.195315
0.0,1001,1176.039515
0.0,505,1180.85269
0.0,377,1184.58792
0.0,366,1188.232616
0.0,747,1195.124588
11.528977,654,1201.203259
0.0,504,1205.985861
0.0,373,1209.660622
0.0,501,1217.14497
7.944564,860,1225.005652
0.0,341,1228.440264
0.0,221,1230.82139
0.0,599,1236.430056
0.0,482,1241.040783
0.0,1001,1250.17187
0.0,672,1259.143392
0.0,1001,1268.252797
0.0,828,1275.834284
0.0,1001,1285.103396
0.0,329,1288.447766
0.079605,1001,1300.338272
0.0,206,1302.575171
0.52183,1001,1311.715131
0.255351,615,1317.482306
6.595434,656,1323.608239
0.0,660,1329.750143
0.0,600,1335.40928
0.0,586,1343.659364
0.0,230,1346.113005
0.0,590,1351.658076
0.0,1001,1360.863083
0.0,270,1363.689064
0.0,363,1367.40967
0.694011,661,1373.582334
0.0,252,1376.223421
0.0,766,1386.097013
4.972138,1001,1395.207958
0.0,434,1399.421996
0.0,305,1402.521486
0.0,304,1405.613259
0.0,553,1410.845698
4.817514,1001,1422.675047
0.0,439,1426.936052
0.0,609,1432.661196
0.0,830,1440.360689
0.0,271,1443.225578
0.0,201,1445.455433
0.0,362,1449.049663
0.0,489,1453.735371
6.655355,504,1458.592705
0.0,195,1460.733497
0.0,258,1466.235212
0.0,396,1470.099191
0.736618,558,1475.381564
0.0,493,1480.1483
0.0,573,1485.551465
0.0,877,1493.553189
0.0,452,1497.912722
7.540315,501,1502.705012
0.0,350,1508.899616
0.0,301,1511.962519
0.0,538,1517.024507
0.0,360,1520.597816
0.0,314,1523.770495
0.0,567,1529.099701
0.0,204,1531.334506
0.791214,1001,1540.511154
0.0,666,1549.458577
3.990685,1001,1558.548145
4.255747,388,1562.356206
0.0,271,1565.169059
0.0,343,1568.586253
0.0,355,1572.102365
0.0,353,1575.652918
0.0,282,1578.556256
0.0,231,1581.009567
0.0,606,1586.682956
0.026721,730,1596.183817
0.0,188,1598.267813
0.0,491,1602.955642
0.0,751,1609.935532
0.0,539,1615.045998
0.0,414,1619.078527
24.665608,1001,1628.15695
0.0,554,1636.034526
0.00229,291,1639.097425
0.0,367,1642.754109
0.0,238,1645.280252
0.0,403,1649.274269
0.553406,359,1652.865826
0.0,720,1659.561402
0.0,335,1662.940134
0.943192,764,1670.219808
0.0,402,1676.932964
0.0,262,1679.661357
0.0,920,1688.100641
0.0,483,1692.740978
0.0,613,1698.521025
0.0,227,1700.99906
5.715244,816,1708.536094
0.0,635,1717.192047
0.0,321,1720.455221
0.0,196,1722.627265
0.0,238,1725.169339
0.0,402,1729.167881
1.388122,794,1736.502506
0.0,326,1739.784122
0.0,823,1747.506538
4.537533,727,1754.25218
0.0,309,1760.144105
6.810889,714,1766.796132
0.0,356,1770.328059
0.0,718,1776.985919
0.0,430,1781.161737
0.0,1001,1790.330953
6.974179,491,1795.076545
6.834153,621,1803.640341
0.0,498,1808.407069
0.0,321,1811.636439
0.0,798,1818.987417
0.0,375,1822.675356
0.0,1001,1831.74956
0.06338,834,1842.195569
0.0,332,1845.550051
0.0,548,1850.735804
0.0,436,1854.968345
4.65363,209,1857.25002
0.0,371,1860.925669
0.0,802,1868.284882
0.0,537,1873.394836
0.0,738,1880.250324
3.326263,497,1887.741014
0.0,848,1895.512859
0.0,296,1898.534358
0.0,381,1902.295157
9.735994,247,1904.879158
0.0,227,1907.311789
0.0,854,1915.358833
0.037854,303,1918.458651
0.0,322,1921.71954
0.0,408,1928.483831
0.0,278,1931.407168
0.0,477,1935.98578
0.0,1001,1945.127907
0.0,198,1947.326112
0.0,428,1951.503736
7.275061,644,1957.593464
9.8418,707,1964.208595
0.0,1001,1976.143036
7.106242,930,1984.707403
0.0,561,1990.020789
0.056046,789,1997.360344
5.049901,751,2004.390407
19.064194,574,2012.552325
0.0,410,2016.547456
0.025221,1001,2025.637512
18.956729,535,2030.764164
0.0,143,2032.477943
0.458242,306,2035.577582
0.0,1001,2044.688897
0.0,555,2052.705315
0.0,153,2054.481477
0.0,882,2062.546694
0.0,332,2065.904938
0.0,315,2069.077271
0.0,494,2073.799213
0.0,303,2076.893614
0.0,396,2080.767194
0.0,162,2082.62688
0.0,1001,2094.505402
0.0,453,2098.881682
0.0,305,2101.970516
0.0,256,2104.642599
0.0,317,2107.846689
0.0,311,2111.003225
0.0,222,2113.378474
0.514874,349,2116.842303
0.0,1001,2125.906693
0.0,831,2136.263276
0.0,1001,2145.394615
0.0,540,2150.749707
0.0,679,2157.094015
0.0,660,2163.270991
0.0,589,2168.786732
0.0,260,2171.518486
0.0,374,2177.953387
0.0,675,2184.266918
0.0,643,2190.361802
6.632468,763,2197.420558
0.0,378,2201.189332
0.0,1001,2210.330524
0.0,810,2220.49187
2.47803,455,2224.893514
0.0,443,2229.222557
0.0,261,2231.983311
0.0,199,2234.223358
0.0,1001,2243.334198
0.0,577,2248.788337
0.0,172,2250.741689
0.038753,1001,2262.675777
1.088211,300,2265.797088
4.390276,812,2273.471204
0.0,187,2275.580905
0.0,579,2281.139325
0.0,516,2286.077795
0.0,365,2289.699248
2.3767,572,2295.135107
0.0,345,2298.59916
0.0,315,2304.569304
0.0,410,2308.597485
0.0,1001,2317.737012
0.052388,181,2319.784538
7.189459,1001,2328.939553
0.0,752,2335.928123
0.0,289,2338.894305
1.735887,192,2341.019609
11.289177,258,2346.452139
0.0,471,2351.01054
0.0,973,2359.831513
0.02225,248,2362.436482
16.152554,943,2371.002358
0.0,225,2373.396979
0.0,675,2379.675524
0.0,142,2381.363166
0.0,351,2387.634723
0.0,946,2396.503975
0.0,560,2401.817598
0.0,165,2403.708576
0.0,396,2407.585574
0.0,205,2409.851525
0.0,186,2411.926511
0.0,216,2414.254683
0.0,852,2422.034011
13.943846,258,2424.725634
0.0,630,2433.376743
0.0,262,2436.106382
0.0,620,2441.922233
0.613798,698,2448.419241
0.0,580,2453.93417
0.0,561,2459.333878
15.100817,288,2462.287601
0.0,319,2465.517801
0.0,561,2473.472011
0.0,335,2476.817849
0.0,523,2481.816714
0.0,799,2489.145877
0.0,804,2496.534266
1.750393,341,2499.925734
0.0,1001,2508.98983
0.0,474,2516.23552
0.0,743,2523.161302
0.0,529,2528.209298
0.0,1001,2537.301444
0.0,670,2543.552094
0.0,195,2545.708672
0.0,345,2549.144528
0.0,519,2556.845579
0.0,221,2559.221061
4.149022,1001,2568.442175
0.0,863,2576.377198
0.0,204,2578.614363
0.0,194,2580.765418
0.0,232,2583.239994
16.664056,602,2588.912791
0.0,289,2591.899198
6.393408,475,2599.217624
0.0,412,2603.249866
0.0,914,2611.607452
0.0,554,2616.888032
0.0,235,2619.409428
0.0,273,2622.234892
0.0,839,2629.989875
0.0,426,2634.161748
0.0,697,2643.378664
8.187464,811,2650.989735
0.0,521,2655.943769
8.937753,813,2663.429392
0.0,277,2666.305925
0.0,195,2668.442657
0.0,207,2670.692979
0.0,190,2672.784086
0.0,214,2675.276549
0.0,223,2677.699875
0.0,198,2682.624832
0.0,465,2687.335179
16.649715,563,2693.055343
0.0,329,2696.598548
0.166194,840,2704.738161
1.265312,1001,2713.864566
0.0,417,2717.927713
0.0,382,2721.709624
0.0,161,2726.726772
0.0,194,2728.899288
0.0,733,2735.952279
0.0,462,2740.846006
0.0,228,2743.521772
0.0,471,2748.13152
0.0,479,2753.069636
0.0,438,2757.723286
0.08403,322,2761.255996
0.0,647,2770.665305
0.0,322,2774.069314
0.0,446,2778.647137
0.0,469,2783.587903
0.0,823,2791.699335
9.376812,455,2796.39701
0.0,1001,2806.073152
0.0,304,2809.426397
0.0,297,2815.849557
0.155674,672,2822.931912
0.0,331,2826.506641
0.0,307,2829.856758
0.0,709,2836.930767
0.0,316,2840.539701
0.773443,473,2845.578665
0.0,578,2851.734913
0.0,1001,2864.396269
6.619846,987,2873.575955
0.085349,431,2877.811488
0.0,496,2882.657914
1.293584,524,2887.772065
0.0,376,2891.520376
0.452938,1001,2903.584811
0.0,232,2906.08643
0.0,796,2913.556291
0.0,778,2920.823626
0.0,667,2927.105843
0.0,342,2930.576908
0.0,1001,2939.796978
0.0,1001,2952.01906
0.0,657,2958.207196
0.0,233,2960.707633
0.011959,1001,2969.943262
0.0,452,2974.334312
0.0,781,2981.679421
0.0,317,2987.696115
0.0,858,2995.74497
0.0,603,3001.432884
0.0,654,3007.670201
0.0,442,3011.983075
8.348761,839,3019.859145
0.0,958,3031.408727
0.00488,402,3035.377774
0.021792,861,3043.316133
3.12298,287,3046.269662
0.0,485,3050.973369
0.0,766,3058.067895
0.0,917,3069.460375
0.0,305,3072.632505
0.0,230,3075.148493
0.0,215,3077.508052
0.0,698,3084.213228
0.0,333,3087.666998
2.269057,323,3090.99578
0.0,1001,3100.169163
0.0,552,3105.483001
0.0,546,3113.500555
2.498256,597,3119.223372
0.0,233,3121.723561
0.0,241,3124.286255
0.0,299,3127.365029
0.0,562,3132.709244
0.0,465,3137.502479
0.0,380,3141.32765
0.0,541,3146.850871
0.0,332,3150.233
0.0,419,3157.423444
0.0,543,3162.662064
0.0,242,3165.264645
0.0,954,3174.073507
0.0,303,3177.176576
0.0,712,3183.866641
0.0,763,3190.973796
0.0,234,3193.493041
0.0,683,3202.935782
0.0,225,3205.371561
0.008467,1001,3214.564167
0.0,406,3218.568139
17.171453,1001,3227.860747
0.0,583,3233.449747
0.0,299,3236.569567
0.0,631,3245.595246
0.0,228,3248.097814
0.0,594,3253.753401
0.0,710,3260.493492
0.0,694,3267.066783
0.0,545,3272.288632
0.0,553,3277.560615
0.0,286,3280.530275
0.0,476,3288.104485
0.0,919,3296.579693
0.0,281,3299.516037
0.0,756,3306.573015
9.502164,442,3310.894332
0.0,237,3313.429896
0.0,305,3316.566462
0.0,1001,3328.778651
0.0,508,3333.683634
0.0,564,3339.155732
0.0,450,3343.525777
0.0,477,3348.13145
0.181056,615,3353.920537
0.0,720,3360.744047
15.32724,574,3369.202507
0.0,263,3371.955614
0.0,863,3379.896554
0.0,250,3382.632738
0.0,755,3390.794103
0.0,1001,3400.619466
0.0,504,3405.989877
0.0,224,3408.640232
3.800473,488,3416.634346
0.0,749,3423.924557
0.0,412,3428.212187
0.0,779,3435.719947
0.0,1001,3445.362767
0.0,279,3448.399049
0.0,952,3460.361139
