#{"t_start": 1704661767.641978, "env_id": "None"}
r,l,t
0.0,20,0.47064
0.0,21,0.751303
0.0,19,1.024666
0.0,18,1.319121
0.0,20,1.6141
0.0,19,1.916209
0.0,22,2.224492
0.0,18,2.52676
0.0,19,2.821378
0.0,19,3.132152
0.0,21,3.447022
0.0,18,3.732698
0.0,20,4.00777
0.0,24,4.302949
0.0,20,4.594447
0.0,20,4.897529
0.121762,97,5.498786
0.0,20,5.824894
0.0,22,6.170447
0.0,22,6.492439
0.0,20,6.779164
0.0,20,7.073227
0.0,20,7.362006
0.0,22,7.655194
0.0,19,7.933766
0.0,106,8.523722
0.0,20,8.80835
0.0,19,9.089162
0.0,25,9.392247
0.0,21,9.711105
0.0,17,10.030974
0.0,18,10.339287
0.0,20,10.627782
0.0,19,10.900109
0.0,18,11.183235
0.0,21,11.458114
0.0,23,11.744089
0.0,23,12.029219
0.014584,565,14.144116
0.079297,241,15.169595
0.0,20,15.442761
0.092585,566,17.731328
0.0,20,18.004108
0.0,22,18.286066
0.0,22,18.569389
0.0,20,18.847724
0.0,209,19.775026
0.0,23,20.058242
0.0,22,20.345675
0.0,20,20.62003
0.0,21,20.894181
0.0,20,21.172741
0.0,21,21.451162
0.0,21,21.730523
0.136971,701,24.271826
0.0,22,24.55154
0.0,18,24.817606
0.0,18,25.082333
0.0,22,25.359883
0.0,22,25.646593
0.329064,221,26.610666
0.0,24,26.940402
0.000495,82,27.483557
0.0,131,28.17335
0.0,21,28.447024
0.0,17,28.718043
0.0,73,29.89679
0.0,18,30.199647
0.0,30,30.541698
0.331322,319,31.84086
0.001802,21,32.118919
0.0,20,32.39328
0.0,679,34.87039
0.0,59,35.274284
0.0,26,35.565808
0.0,23,35.842313
0.0,19,36.116327
0.0,21,36.391966
0.0,20,36.664393
0.41682,278,37.81207
0.0,22,38.084442
0.0,21,38.353132
0.0,22,38.632252
0.0,20,38.904139
0.0,19,39.174281
0.0,19,39.439585
0.0,20,39.713319
0.0,18,39.980703
0.0,24,40.272637
0.0,25,40.562442
0.001748,77,41.014759
0.0,23,41.297455
0.0,21,41.574504
0.144961,110,42.144326
0.039193,184,42.95963
0.0,19,43.239148
0.0,20,43.528085
0.0,18,43.795069
0.004078,98,44.323607
0.320235,189,45.168792
0.0,19,45.433307
0.050468,224,46.386189
0.0,19,46.648387
0.0,19,46.920744
0.0,20,47.19906
0.0,23,47.484814
0.0,18,47.751296
0.0,19,48.025779
0.0,18,48.285838
0.0,20,48.561741
0.0,20,48.836437
0.0,24,49.124882
0.0,22,49.406053
0.0,22,49.691649
0.0,21,49.971143
0.0,20,50.261569
0.0,23,50.545019
0.0,21,50.824106
0.0,20,51.096007
0.0,28,51.396728
0.0,19,51.667856
0.0,22,51.947319
0.0,21,52.224369
0.0,17,52.484661
0.0,19,52.749698
0.0,26,53.035595
0.0,22,53.307052
0.108018,244,54.323163
0.0,19,54.594896
0.0,22,54.871671
0.0,19,55.143633
0.0,22,55.428286
0.0,23,55.708701
0.0,19,55.971236
0.0,19,56.241733
0.0,22,56.52725
0.0,22,56.813629
0.0,22,57.093493
0.0,21,57.366178
0.0,24,57.662029
0.0,21,57.94791
0.0,22,58.228313
0.0,20,58.498096
0.0,19,58.778656
0.0,22,59.052166
0.0,19,59.323352
0.081669,174,60.823015
0.054901,338,62.162014
0.0,19,62.428228
0.0,22,62.709443
0.0,20,62.98042
0.0,20,63.254753
0.0,24,63.539043
0.0,20,63.805068
0.0,21,64.073581
0.0,19,64.340461
0.0,18,64.609824
0.0,21,64.890365
0.0,22,65.172891
0.0,18,65.441289
0.132395,77,65.906809
0.400429,321,67.192511
0.0,23,67.476353
0.0,22,67.752386
0.0,23,68.034609
0.0,20,68.305071
0.0,21,68.58051
0.0,19,68.849879
0.0,23,69.136291
0.0,20,69.407929
0.0,21,69.687403
0.0,19,69.961592
0.0,20,70.233841
0.0,19,70.50392
0.0,19,70.787761
0.0,19,71.051381
0.0,20,71.327371
0.0,18,71.600232
0.0,21,71.894971
0.008505,324,73.190863
0.0,19,73.463777
