#{"t_start": 1704713130.146396, "env_id": "None"}
r,l,t
6.092751,1001,3.967671
4.423615,1001,8.545924
3.944748,1001,12.782712
5.530939,1001,16.86102
5.087226,1001,22.096394
0.389328,137,23.055749
0.50152,126,24.006327
5.515496,1001,28.098809
5.299178,1001,32.396884
4.586914,1001,37.198145
4.86304,949,40.956197
0.006131,19,41.267625
4.978793,1001,45.185017
6.343132,1001,49.259471
5.300581,1001,54.218989
5.690591,1001,59.207127
5.718762,1001,63.324035
5.203309,1001,67.523854
5.627836,1001,71.543836
6.516551,1001,76.776771
6.089864,1001,80.784486
4.789699,1001,84.972916
2.584631,529,87.145345
5.885445,1001,92.511666
5.535147,1001,96.400642
5.933833,1001,100.449747
5.429761,1001,104.362504
5.325273,1001,109.048901
5.229534,1001,113.224534
6.038401,1001,117.510418
5.947238,1001,121.418831
5.457955,1001,126.093004
5.924446,1001,130.031759
3.216304,537,132.29487
6.631433,1001,136.11962
4.99294,1001,140.391355
4.986925,812,144.987851
1.154214,289,146.270499
3.437945,552,148.517749
5.204789,1001,152.608839
6.182283,1001,156.487715
5.939752,1001,161.357291
4.250142,1001,165.377853
5.50357,1001,169.318794
5.506165,1001,173.118754
5.786536,1001,177.714995
6.116704,1001,181.602671
6.142614,1001,186.125361
6.04977,1001,190.136478
6.020674,1001,194.030463
6.202739,1001,198.927932
4.437387,1001,202.756132
6.603624,1001,207.037728
5.541521,1001,211.025741
4.61926,789,215.105961
6.998577,1001,218.815047
7.295821,1001,222.579579
5.597119,1001,227.257114
5.677668,1001,232.754021
5.075601,1001,236.614139
5.411741,1001,240.711728
6.335414,1001,244.667023
6.655728,1001,249.547561
4.961199,1001,253.354337
5.978414,1001,257.234221
6.278711,1001,261.453653
4.850623,1001,266.446505
5.203312,1001,270.506247
4.922495,1001,274.916895
6.17052,1001,278.93815
5.075282,1001,283.976174
5.409558,1001,287.984576
5.585036,1001,292.040539
5.827731,1001,295.977634
6.244989,1001,301.139175
4.857721,1001,305.14714
5.550478,1001,308.967789
4.50341,1001,312.853671
5.038659,1001,318.231821
5.956233,1001,322.694955
6.332641,1001,327.274538
6.050419,1001,331.323329
5.856501,1001,335.238002
7.231382,1001,340.517519
6.117469,1001,344.807374
5.919839,1001,348.944801
5.742185,1001,353.169142
5.465645,1001,358.096845
6.068938,1001,362.098427
5.652541,1001,366.146405
5.372601,1001,370.02262
5.517696,1001,375.051237
6.754136,1001,378.852559
5.258726,1001,382.583769
7.04379,1001,386.362408
6.542902,1001,391.190724
7.20692,1001,395.289433
6.164916,1001,399.379722
6.203063,1001,403.875803
5.566997,1001,409.152809
5.369987,1001,413.45922
6.06942,1001,417.327585
5.758548,1001,422.232669
5.778515,1001,426.945513
6.312999,1001,430.812052
7.179295,1001,434.595928
5.368904,1001,438.286777
5.472864,1001,443.145582
4.526704,1001,447.001283
6.225311,1001,450.775532
6.312289,1001,454.567357
5.344857,1001,459.334728
7.503927,1001,463.716157
6.449525,1001,467.718548
5.825702,1001,472.205736
5.907621,1001,477.858287
5.54641,1001,482.093104
5.942733,1001,486.151717
5.880794,1001,490.205856
5.898188,1001,494.87716
6.869729,1001,498.62419
6.066076,1001,502.529949
5.607259,1001,506.31193
6.078085,1001,510.932699
6.260953,1001,514.631216
6.236223,1001,518.528997
7.293135,1001,522.346473
6.007536,1001,526.40557
5.991178,1001,531.106186
5.768676,1001,535.041701
7.098844,1001,538.876917
6.744339,1001,542.618682
6.04789,1001,547.174383
6.214894,1001,550.922326
6.352274,1001,554.823508
5.878727,1001,558.930475
6.731475,1001,563.775656
6.458919,1001,567.675973
6.166418,1001,572.06164
5.629905,1001,576.198302
6.668471,1001,581.041894
5.165702,1001,584.959338
5.876978,1001,588.988002
6.848741,1001,593.038071
5.868546,1001,598.103677
6.333857,1001,602.475964
6.677827,1001,606.720931
6.465189,1001,612.03832
6.079851,1001,617.30395
6.411184,1001,621.143584
6.425584,1001,624.924084
6.729636,1001,629.172065
5.991273,1001,634.331275
5.018491,1001,638.21039
6.878246,1001,642.447796
5.909891,1001,646.786386
6.300764,1001,651.662331
6.549734,1001,655.660378
6.067868,1001,659.839251
3.113161,487,662.522905
6.723087,1001,667.112
5.399403,1001,673.520191
7.025039,1001,677.922573
6.245224,1001,682.036487
6.734841,1001,686.069676
7.081848,1001,691.112017
7.711811,1001,694.895548
6.497783,1001,699.032834
5.845615,1001,703.131245
6.526039,1001,707.65542
6.501022,1001,711.489217
6.561705,1001,715.406314
6.097056,1001,719.432855
8.271179,1001,724.388526
7.731112,1001,728.26987
8.158012,1001,732.136313
6.771882,1001,736.051675
7.198677,1001,740.961766
6.721514,1001,744.928113
7.559727,1001,749.061901
5.725645,1001,753.628258
7.558026,1001,759.641135
5.963568,1001,763.792265
6.919353,1001,768.35307
5.974357,1001,772.525591
6.767863,1001,777.433082
7.096229,1001,781.390923
6.065554,1001,785.686419
6.0866,1001,789.708799
7.352754,1001,795.228162
6.189502,1001,799.092537
6.782804,1001,802.978611
6.305641,1001,807.735885
