#{"t_start": 1704708007.840933, "env_id": "None"}
r,l,t
0.0,18,0.520176
0.0,19,0.828743
0.0,22,1.124276
0.0,20,1.410736
0.0,262,2.557689
0.0,460,4.345322
0.0,24,4.728963
0.0,23,5.14681
0.0,22,5.499581
0.0,81,6.048176
0.0,23,6.34886
0.0,21,6.628355
0.0,182,7.476317
0.0,22,7.785807
0.0,19,8.083015
0.0,22,8.410591
0.0,19,8.718603
0.0,20,9.030691
0.0,264,10.136642
0.0,448,11.827786
0.0,21,12.095042
0.0,22,12.365685
0.0,22,12.64001
0.0,19,12.902623
0.0,23,13.196819
0.0,312,14.540736
0.0,25,14.829005
0.0,288,15.978259
0.0,20,16.247185
0.0,24,16.527628
0.0,19,16.790168
0.0,23,17.067576
0.0,19,17.338678
0.0,20,17.612481
0.0,19,17.878296
0.0,22,18.161433
0.0,21,18.451593
0.0,629,20.833244
0.0,19,21.152993
0.0,20,21.563792
0.0,17,21.83938
0.0,21,22.131097
0.0,185,22.961716
0.0,18,23.228011
0.0,20,23.493165
0.0,21,23.780556
0.0,20,24.082159
0.0,20,24.442869
0.0,22,24.77017
0.0,22,25.116239
0.0,85,25.699847
0.0,21,26.013651
0.0,19,26.30589
0.0,173,28.001524
0.0,24,28.307307
0.0,19,28.586959
0.0,20,28.873277
0.0,27,29.178126
0.0,22,29.465197
0.0,189,30.343088
0.0,17,30.603439
0.0,19,30.871082
0.0,19,31.149516
0.0,26,31.449963
0.0,22,31.732192
0.0,19,32.027443
0.0,187,32.974223
0.0,21,33.282487
0.0,116,33.902696
0.0,20,34.203573
0.0,17,34.489751
0.0,19,34.789212
0.0,134,35.599576
0.0,22,35.920055
0.0,22,36.210709
0.0,255,37.300192
0.0,21,37.580666
0.0,19,37.864351
0.0,21,38.165965
0.0,56,38.565843
0.0,19,38.844277
0.0,182,39.68728
0.0,18,39.959849
0.0,116,40.58352
0.0,343,42.05581
0.0,22,42.377774
0.0,23,42.673388
0.0,24,42.964517
0.0,18,43.241851
0.0,730,46.006218
0.0,102,46.550144
0.0,20,46.825059
0.0,20,47.098196
0.0,20,47.377048
0.0,279,48.526869
0.0,21,48.82618
0.0,22,49.118765
0.0,23,49.543003
0.0,120,50.195383
0.0,21,50.484609
0.0,72,50.989856
0.0,123,51.64176
0.0,20,52.056988
0.0,24,52.375611
0.0,19,52.668429
0.0,20,52.955109
0.0,18,53.240615
0.0,77,53.816705
0.0,172,55.711319
0.0,22,56.076168
0.0,31,56.440311
0.0,129,57.122923
0.0,22,57.441567
0.0,22,57.723085
0.0,20,58.003426
0.0,197,58.861834
0.0,18,59.132198
0.0,194,59.980441
0.0,22,60.253336
0.0,23,60.534253
0.0,24,60.829858
0.0,19,61.101833
0.0,22,61.385982
0.0,19,61.682182
0.0,20,61.972881
0.0,22,62.272128
0.0,136,62.965466
0.0,20,63.253506
0.0,96,63.814683
0.0,20,64.108947
0.0,20,64.408185
0.0,20,64.716234
0.0,20,65.075613
0.0,92,65.645571
0.0,23,65.937414
0.0,20,66.211292
0.0,1001,69.929675
0.0,20,70.223497
0.0,21,70.51401
0.0,19,70.800059
0.0,261,71.917031
0.0,19,72.186892
0.0,469,74.030926
0.0,22,74.318782
0.0,136,75.00935
0.0,205,75.944707
0.0,22,76.244789
0.0,18,76.524794
0.0,20,76.818241
0.0,225,77.814078
0.0,19,78.090041
0.0,20,78.37112
0.0,23,78.652764
0.0,26,78.944491
0.0,20,79.22914
0.0,20,79.523335
0.0,22,79.82371
0.0,22,80.124574
0.0,22,80.422767
0.0,20,80.71968
0.0,21,81.03031
0.0,26,82.289322
0.0,22,82.591009
0.0,20,82.873431
0.0,22,83.149521
0.0,429,84.829564
0.0,101,85.420322
0.0,90,85.943693
0.0,134,86.631192
0.0,24,86.923942
0.0,19,87.20357
0.0,117,87.844671
0.0,19,88.13378
0.0,19,88.44655
0.0,21,88.729231
0.0,354,90.168944
0.0,71,90.777804
0.0,392,92.591286
0.0,24,92.907085
0.0,20,93.200583
0.0,25,93.518454
0.0,132,94.210834
0.0,20,94.504237
0.0,26,94.798768
0.0,21,95.085456
0.0,19,95.369933
0.0,78,95.85118
0.0,20,96.231946
0.0,23,96.625949
0.0,271,97.819768
0.0,22,98.132879
0.0,21,98.425141
0.0,21,98.740959
0.0,425,100.517949
0.0,20,100.902201
0.0,22,101.292162
0.0,21,101.646229
0.0,92,102.202279
0.0,22,102.560098
0.0,18,102.833008
0.0,23,103.13015
0.0,19,103.409317
0.0,19,103.692224
0.0,25,104.155266
0.0,20,104.506233
0.0,18,104.817722
0.0,181,105.766082
0.0,19,106.051375
0.0,20,106.336868
0.0,68,107.004245
0.0,23,107.309908
0.0,22,107.623632
0.0,25,107.96694
0.0,226,109.007127
0.0,21,109.31802
0.0,326,111.522195
0.0,19,111.806339
0.0,24,112.108987
0.0,21,112.385343
0.0,25,112.687722
0.0,98,113.217243
0.0,21,113.493418
0.0,27,113.790636
0.0,19,114.060796
0.0,68,114.497801
0.0,24,114.78119
0.0,21,115.054757
0.0,20,115.33194
0.0,24,115.642409
0.0,26,115.93915
0.0,20,116.220592
0.0,19,116.499991
0.0,18,116.773455
0.0,22,117.047208
0.0,19,117.314579
0.0,21,117.596493
0.0,147,118.282093
0.0,23,118.565641
0.0,23,118.852437
0.0,19,119.124675
0.0,22,119.415387
0.0,19,119.678332
0.0,19,119.943968
0.0,20,120.212719
0.0,23,120.499721
0.0,21,120.769731
0.0,22,121.051042
0.0,20,121.324186
0.0,21,121.652162
0.0,22,122.060317
0.0,24,122.437128
0.0,178,123.340981
0.0,19,123.643004
0.0,24,123.950314
0.0,21,124.246422
0.0,25,124.569436
0.0,23,124.877245
0.0,22,125.193427
0.0,19,125.500927
0.0,20,125.823867
0.0,75,126.356674
0.0,22,126.669331
0.0,20,126.988282
0.0,20,127.301832
0.0,107,127.869784
0.0,21,128.14839
0.0,20,128.417574
0.0,22,128.709787
0.0,165,129.526837
0.0,249,130.633091
0.0,211,131.601597
0.0,20,131.884548
0.0,24,132.190143
0.0,20,132.516228
0.0,20,132.833448
0.0,19,133.307487
0.0,19,133.640681
0.0,18,133.918693
0.0,23,134.240189
0.0,21,134.621106
0.0,23,134.924041
0.0,21,135.272103
0.0,21,135.625317
0.0,24,136.030804
0.0,288,137.375516
0.0,22,137.737413
0.0,24,138.071576
0.0,28,138.396225
0.0,20,138.704963
0.0,22,139.034908
0.0,20,139.358268
0.0,228,140.426485
0.0,24,140.763914
0.0,22,141.065582
0.0,264,142.375686
0.0,19,142.686357
0.0,22,142.99914
0.0,18,143.274063
0.0,21,143.56447
0.0,107,144.124706
0.0,20,144.394101
0.0,21,144.675988
0.0,21,144.963833
0.0,19,145.259549
0.0,279,147.286984
0.0,21,147.558453
0.0,19,147.822929
0.0,20,148.097215
0.0,20,148.372836
0.0,22,148.659848
0.0,23,148.989365
0.0,17,149.267396
0.0,20,149.568684
0.0,21,149.870968
0.0,20,150.182174
0.0,64,150.650817
0.0,22,150.988327
0.0,19,151.265975
0.0,21,151.566121
0.0,20,151.833869
0.0,20,152.119109
0.0,23,152.418353
0.0,22,152.69742
0.0,123,153.340927
0.0,18,153.630517
0.0,24,153.92426
0.0,20,154.194146
0.0,20,154.470852
0.0,22,154.767066
0.0,28,155.093706
0.0,19,155.360521
0.0,82,155.83295
0.0,178,156.636627
0.0,20,156.908707
0.0,20,157.179171
0.0,121,157.958095
0.0,280,159.224957
0.0,24,159.507402
0.0,64,159.944198
