#{"t_start": 1704724636.572072, "env_id": "None"}
r,l,t
38.828802,1001,3.967049
39.434633,1001,7.876012
39.080228,1001,11.706307
40.815426,1001,15.625078
39.230571,1001,20.409666
39.719582,1001,24.129043
39.939941,1001,28.021516
40.318833,1001,32.011824
40.048174,1001,36.578116
41.554573,1001,40.466103
40.108824,1001,44.359158
39.459901,1001,48.123296
41.885705,1001,52.635408
41.315983,1001,56.448845
40.051143,1001,60.221695
41.407263,1001,63.962741
41.123795,1001,68.56852
41.130316,1001,72.292717
40.698648,1001,76.12053
40.536617,1001,79.938654
40.739861,1001,84.561661
39.960079,1001,88.313737
39.579534,1001,92.288216
40.040721,1001,96.030144
41.986583,1001,101.311867
41.781777,1001,105.262561
42.129179,1001,109.178857
41.263209,1001,112.943135
41.31084,1001,117.729027
43.349043,1001,121.613975
41.006422,1001,125.705473
42.109867,1001,129.416712
41.685682,1001,134.116961
42.169694,1001,137.992649
40.910609,1001,141.903787
42.525014,1001,145.624831
40.811732,1001,150.132631
42.086986,1001,153.871425
43.218248,1001,157.595764
42.281159,1001,161.295477
41.510089,1001,165.962512
42.909307,1001,169.67652
44.248486,1001,173.407362
42.707204,1001,177.163847
43.659399,1001,180.944481
44.860531,1001,185.626562
43.069021,1001,189.386853
43.705286,1001,193.22976
44.27352,1001,197.125059
45.193573,1001,201.79576
44.728785,1001,205.791473
44.6682,1001,209.619998
43.23859,1001,213.449406
45.716878,1001,218.099069
45.085141,1001,222.015137
46.0972,1001,225.793423
43.531173,1001,229.640262
43.961089,1001,234.233617
44.95193,1001,237.969948
44.875463,1001,241.705901
44.519442,1001,245.52421
45.776823,1001,250.517526
45.672504,1001,254.360373
45.552366,1001,258.121029
45.604652,1001,261.882186
45.354877,1001,266.434034
46.684592,1001,270.18412
45.855842,1001,274.036013
44.079265,1001,277.784133
47.36819,1001,282.574969
46.152982,1001,286.625897
47.536376,1001,290.474267
45.899278,1001,294.475841
45.506449,1001,299.112571
46.285636,1001,302.99018
47.215222,1001,306.873878
44.872405,1001,310.595336
46.606994,1001,315.284113
48.029103,1001,319.065397
47.72782,1001,322.817853
48.140293,1001,326.565454
46.371438,1001,331.102137
47.516836,1001,334.947778
47.071548,1001,338.659074
46.840181,1001,342.70777
48.042052,1001,347.92586
36.039286,767,350.932615
44.515022,939,355.042341
48.663119,1001,360.114256
47.228541,1001,365.395006
48.765439,1001,372.023312
48.686344,1001,376.121232
48.076638,1001,380.536337
48.502766,1001,384.348937
47.083395,1001,389.427015
47.849405,1001,393.825315
48.654772,1001,397.707377
48.451963,1001,401.616571
47.905878,1001,406.645936
46.690086,1001,410.558947
46.42655,1001,415.361166
48.199684,1001,419.466315
47.773669,1001,424.579014
46.828738,1001,428.789221
48.784708,1001,432.897474
46.952288,1001,437.493229
47.424538,1001,442.623691
48.997876,1001,446.63943
48.22253,1001,451.084475
47.20802,1001,455.209302
48.295913,1001,460.133639
48.732816,1001,464.29658
48.25163,1001,468.44203
49.083125,1001,472.67107
49.380487,1001,477.374561
49.353566,1001,481.663006
48.403438,1001,486.105509
49.399438,1001,490.256771
47.833998,1001,495.277654
50.164684,1001,499.344784
50.310247,1001,503.594612
49.069594,1001,507.603492
49.342585,1001,512.507993
49.808772,1001,518.309818
49.473669,1001,523.462926
49.338426,1001,528.957367
50.009764,1001,534.496287
49.963537,1001,541.513319
49.864254,1001,548.059727
50.846121,1001,553.612176
49.152143,1001,558.871916
50.757557,1001,565.66754
50.309375,1001,571.470439
50.488354,1001,577.401774
48.889563,1001,583.084132
50.79896,1001,587.947089
50.376807,1001,592.017395
51.723705,1001,596.171334
50.629478,1001,600.113292
51.452112,1001,605.169733
49.35479,1001,609.164504
50.095846,1001,613.03946
49.174055,1001,616.824867
51.251714,1001,621.443733
51.867939,1001,625.303428
51.51969,1001,629.112646
49.4737,1001,632.855336
