#{"t_start": 1704721854.352869, "env_id": "None"}
r,l,t
38.801675,1001,4.828102
25.115963,1001,9.646127
41.332896,1001,13.701722
43.00556,1001,18.381064
21.059863,1001,23.910393
36.051146,1001,27.720293
26.240533,1001,31.639494
49.544255,1001,35.450589
41.652213,1001,40.176972
22.505363,1001,44.102616
22.214247,1001,47.871814
49.527563,1001,51.438382
31.203368,1001,56.322721
19.509872,1001,60.485072
29.651932,1001,64.40584
23.81501,1001,68.391649
57.56462,1001,73.053635
21.726611,1001,76.958207
51.658212,1001,80.940725
34.100982,1001,85.312278
25.91772,1001,90.385707
25.272015,1001,94.272372
50.512838,1001,98.009834
26.264766,1001,101.768532
30.660204,1001,106.634808
22.645036,1001,110.634303
27.878657,1001,114.659107
27.69491,1001,118.859825
28.193115,1001,123.778108
44.691312,1001,128.019402
53.787093,1001,131.868245
34.139808,1001,135.888058
34.663626,1001,141.213833
34.835898,1001,145.089434
40.212845,1001,148.73924
36.876896,1001,152.688766
46.522694,1001,157.383701
53.076535,1001,161.324133
61.006288,1001,165.161205
43.965455,1001,168.991492
35.549015,1001,173.269233
43.10523,1001,176.821155
32.608304,1001,180.378474
28.508888,1001,184.769277
32.184508,1001,188.536811
55.024396,1001,192.945358
42.51221,1001,196.754082
26.675106,1001,200.817568
35.220327,1001,204.804701
36.447309,1001,210.010447
41.058767,1001,214.528102
22.123524,1001,219.285541
47.227018,1001,223.104348
44.191599,1001,227.517445
51.472043,1001,231.138117
23.643738,1001,234.883276
16.190918,1001,238.747275
33.205404,1001,243.124857
50.000009,1001,246.823817
27.820812,1001,250.577742
22.777029,1001,254.651082
43.816843,1001,259.133552
22.766618,1001,263.031118
31.887433,1001,266.848764
42.600962,1001,271.240843
36.144023,1001,276.862854
39.819872,1001,281.318415
36.079852,1001,285.370971
42.677968,1001,289.342232
52.557996,1001,294.068274
48.760482,1001,298.227994
43.964709,1001,302.212495
28.705107,1001,307.096414
47.027027,1001,313.182555
36.666467,1001,317.390423
29.14863,512,319.391338
35.337816,1001,323.158782
46.362484,1001,326.896665
47.094046,871,330.881518
47.223137,1001,334.865177
57.430969,1001,338.79576
6.489348,52,339.192547
31.581461,1001,342.938258
20.8537,201,343.853027
42.71152,1001,348.471704
47.226756,1001,352.22072
31.97667,1001,356.009966
58.781943,1001,359.984857
46.535557,1001,364.497648
36.811674,1001,368.431223
29.908189,1001,372.310943
40.582695,1001,376.829206
59.649403,1001,383.319323
51.082171,1001,387.882559
44.305826,1001,392.327157
29.947886,1001,396.125438
37.029455,1001,401.222785
19.642109,1001,405.06717
32.172194,1001,409.352252
41.535092,1001,413.901161
31.480033,1001,419.271993
20.105815,1001,423.211749
44.49337,1001,427.128967
25.717265,1001,431.11441
33.601274,1001,435.891938
51.031868,1001,440.048607
50.28391,1001,443.994549
33.166916,1001,448.012589
8.531528,72,448.487932
30.816421,1001,453.294576
30.324766,1001,457.068106
10.497968,91,457.610552
28.837358,1001,461.77347
17.223249,142,462.494008
34.43062,244,463.638798
13.847836,104,464.24634
28.767904,1001,468.253794
22.824614,1001,473.107395
38.937459,1001,477.419016
25.275149,1001,481.383029
27.241697,268,482.827841
19.334461,197,483.820116
36.847933,1001,488.769097
41.259877,1001,492.878726
39.242367,1001,497.35482
57.077857,1001,501.623359
24.437047,1001,507.6844
37.011155,550,509.957234
51.611249,1001,514.668475
33.040249,1001,519.107342
47.94479,1001,523.129651
26.311646,247,524.499258
27.907288,1001,529.556486
21.979654,1001,533.949429
32.398857,1001,538.153459
27.683501,1001,542.872908
30.968846,1001,548.554782
31.60288,1001,552.87095
17.677892,1001,556.947725
35.505813,1001,561.370544
44.245877,1001,566.773399
37.873275,577,569.30601
36.927054,1001,573.455094
28.940498,1001,577.404849
34.419272,537,580.10945
27.284193,1001,585.031591
33.015325,1001,589.609217
51.318217,1001,594.021631
45.503099,1001,598.800936
43.80789,1001,604.679371
55.126981,1001,608.739419
28.888727,1001,612.792924
30.343372,1001,616.74828
34.643197,1001,621.777795
35.202391,1001,627.211312
54.2345,1001,632.117186
49.898437,1001,636.693216
39.823535,1001,642.296475
27.201239,1001,646.286728
46.959524,1001,650.866581
40.570782,1001,655.26918
24.433178,1001,660.624014
28.635707,1001,665.086308
31.312255,1001,669.43228
27.157627,196,670.356626
28.973587,1001,674.26766
29.549159,1001,679.243622
30.105772,1001,683.380757
27.828574,1001,687.243368
25.840072,1001,691.056433
17.271794,388,692.63555
20.86137,1001,697.240539
39.730194,1001,701.18717
23.980476,200,702.140444
38.77302,1001,706.071465
20.244479,379,707.643876
25.097582,258,708.784173
25.314137,1001,713.342021
34.578031,1001,717.25274
19.496878,1001,721.20303
24.941038,188,722.116872
33.036321,1001,725.992903
53.309128,1001,730.848881
47.344204,1001,734.880753
34.221058,1001,738.824461
58.046882,1001,742.607747
30.82028,1001,747.555982
54.950769,1001,751.41549
37.20283,1001,755.321491
40.057788,592,757.631774
26.226987,1001,761.425352
39.683469,285,763.445734
33.020458,1001,767.416522
35.610898,1001,771.480831
27.692153,1001,775.299844
26.552933,1001,779.973186
26.016173,1001,783.947599
39.885573,1001,787.891739
41.68027,1001,791.643274
33.058439,1001,796.167822
17.665114,669,798.756733
33.599361,1001,802.507591
35.194494,1001,806.4208
34.372219,1001,810.20468
22.831019,1001,814.806651
28.218349,1001,818.859502
52.658617,1001,823.064231
35.981301,1001,827.561614
31.387061,1001,833.145753
37.670637,1001,837.147095
38.853162,1001,841.426705
