#{"t_start": 1704722706.287057, "env_id": "None"}
r,l,t
0.0,1001,4.759956
0.079974,1001,9.353366
0.822251,1001,13.614019
0.0,1001,17.774333
0.0,1001,22.508403
0.004402,1001,26.277232
0.802707,1001,30.149104
0.096585,1001,34.11809
0.0,1001,38.680281
0.587782,1001,42.443801
0.0,1001,46.336176
1.42149,1001,50.341325
0.001801,1001,54.951065
0.123971,1001,58.956388
0.0,1001,62.792525
0.011287,1001,66.87213
0.0,1001,72.010963
0.191932,1001,75.950312
0.0,1001,79.922965
0.0,1001,84.059503
1.145444,1001,88.834259
0.218693,1001,92.653411
0.971712,1001,96.372261
0.0,1001,100.23139
0.0,1001,104.896089
0.482682,1001,108.738273
0.0,1001,112.450339
0.117105,1001,116.29211
0.0,1001,120.978793
0.0,1001,124.801162
0.0,1001,128.656574
0.033113,1001,132.470638
0.336415,1001,137.463487
0.0,1001,141.329265
0.0,1001,145.329053
0.006247,1001,149.27573
0.0,1001,154.125248
0.00956,1001,158.060627
0.057945,1001,161.853984
0.0,1001,165.989614
0.0,1001,171.843078
0.531811,1001,176.440426
0.013658,1001,180.2228
1.220179,1001,184.007061
0.275127,1001,187.794321
0.083217,1001,192.63809
0.0,1001,196.462691
0.0,1001,200.25857
0.0,1001,204.0591
0.0,1001,208.778784
0.0,1001,212.736301
0.0,1001,216.513616
0.0,1001,220.421652
0.532482,1001,225.439965
0.0,1001,229.364389
0.309308,1001,233.271888
0.0,1001,237.13984
0.048847,1001,241.87697
0.577343,1001,245.724617
0.291308,1001,249.785015
0.134575,1001,253.702388
0.522154,1001,259.003975
0.021406,1001,262.808366
0.179617,1001,266.612347
0.0,1001,270.357209
0.0,1001,275.127133
0.143013,1001,278.966561
0.0,1001,282.704687
0.0,1001,286.529271
0.0,1001,291.185304
0.054091,1001,295.012715
0.0,710,297.782866
0.518716,1001,301.570001
0.0,1001,306.203982
0.0,1001,310.307492
0.0,744,313.252674
1.191122,695,316.263932
0.034349,912,319.76278
0.029614,1001,324.643866
0.0,237,325.808586
0.177294,854,329.148911
0.0,1001,332.869462
0.537273,949,336.461398
0.0,140,337.19312
0.001299,1001,341.814078
0.283852,159,342.588372
0.0,412,344.264376
0.037741,955,347.880164
0.052908,708,350.634556
0.0,90,351.160421
0.20092,678,353.77106
0.0,415,355.508219
0.544972,1001,360.226605
0.321237,326,361.592503
0.0,1001,365.383501
0.983948,913,368.838332
0.0,88,369.366783
0.501336,210,370.354601
0.121202,642,372.850572
0.0,1001,377.623946
0.0,502,379.674909
0.837615,152,380.433675
1.594655,746,383.530859
0.004897,1001,387.388715
0.012768,538,389.523423
2.235801,212,390.502689
0.0,423,393.149332
0.0,501,395.196865
0.0,359,396.701302
0.703251,778,399.729273
0.0,1001,403.45073
0.0,752,406.316836
0.240907,178,407.180449
0.0,211,408.254981
0.0,182,409.97323
0.475093,293,411.236659
0.0,876,414.604894
0.0,775,417.64833
0.0,179,418.496357
0.006996,1001,422.259221
0.973026,326,423.636236
0.4283,292,425.000689
0.015045,425,427.575019
1.027992,306,428.916368
0.0,283,430.166452
0.0,58,430.584816
0.014012,266,431.719508
0.0,168,432.535656
0.819173,190,433.457358
0.777999,232,434.519446
2.17421,264,435.698771
0.0,347,437.27497
0.0,251,438.48974
1.647665,160,439.296144
0.0,452,441.221868
0.254576,237,442.286738
0.0,266,443.469991
0.0,256,444.572662
0.0,298,446.663693
1.354818,916,450.141005
0.0,325,451.500577
0.096019,860,454.737516
1.241773,170,455.540279
1.472258,177,456.39386
1.100854,298,457.766397
0.609276,515,459.805299
0.0,321,461.169968
0.321156,355,462.656354
0.0,310,464.845238
0.0,187,465.71284
0.0,606,468.063558
0.493579,257,469.215304
0.0,550,471.381661
0.0,501,473.425252
0.241224,678,476.11223
1.118243,222,477.101768
0.0,929,481.333177
0.0,285,482.578947
0.000649,725,485.366215
0.530441,205,486.324411
0.0,205,487.276234
0.0,1001,491.699594
1.003887,154,492.825402
0.616262,249,494.035602
0.0,1001,498.129264
0.431916,118,498.808337
0.0,306,501.100428
0.003031,125,501.812072
1.517674,191,502.726852
0.0,219,503.724231
0.838282,86,504.236604
0.0,180,505.090984
0.462936,97,505.652389
0.0,1001,509.564942
0.731725,895,512.935845
0.031259,62,513.364117
0.188743,562,515.81908
0.0,375,517.488566
0.0,156,519.122147
0.20763,112,519.774537
1.81413,161,520.594103
0.000802,85,521.100012
0.01189,74,521.571301
0.0,294,522.854236
0.0,143,523.564815
0.854319,84,524.077142
0.045042,232,525.214213
0.679033,91,525.767187
0.0,233,526.790224
0.0,363,528.338946
0.0,1001,532.127753
0.700231,163,532.936333
1.851637,400,534.665569
0.0,87,535.23329
0.0,431,538.239997
0.370036,140,538.981446
0.011468,122,539.632842
0.0,140,540.353755
0.0,1001,544.576961
1.721513,209,545.661934
0.0,163,546.786197
0.797598,179,547.744395
0.0,206,548.860715
0.0,298,550.199375
0.0,1001,554.943227
0.0,131,555.779852
1.023134,223,557.224413
0.0,221,558.639837
0.0,120,560.852515
0.0,151,561.8
1.858536,284,563.901754
0.031918,66,564.720213
0.988811,179,566.186077
0.313785,173,567.923176
0.246234,95,568.866535
0.0,251,570.488914
0.151282,322,572.526727
0.1146,189,573.794241
0.0,171,575.070877
1.050533,78,576.090933
0.228442,212,577.698236
0.008985,437,580.566018
0.633667,132,581.424569
1.207931,221,582.515271
0.029268,430,584.439944
0.0,398,586.190676
0.987699,89,586.822241
0.0,497,589.900449
1.160256,153,590.692608
0.0,263,591.975339
0.172894,145,592.781314
0.0,197,593.791204
0.0,316,595.238233
0.0,93,595.862864
0.003203,724,598.754993
0.0,204,599.742101
0.0,382,601.317656
1.61397,426,603.060551
