#{"t_start": 1704711948.530229, "env_id": "None"}
r,l,t
0.0,23,0.700529
0.0,20,1.125192
0.0,23,1.506903
0.0,24,1.907082
0.043675,500,5.723651
0.0,19,6.147721
0.0,19,6.571531
0.0,22,7.076812
0.0,20,7.581917
0.024917,106,8.707786
0.0,19,9.261444
0.035387,72,10.230144
0.0,172,11.449387
0.0,19,11.958904
0.0,22,12.505506
0.0,22,13.07059
0.0,21,13.634915
0.0,24,14.511514
0.0,28,15.14041
0.0,20,15.698316
0.0,25,16.264346
0.0,26,16.810364
0.0,21,17.356703
0.0,23,17.908787
0.0,21,18.440403
0.0,20,18.989303
0.0,23,19.506456
0.0,23,19.974788
0.0,19,20.34318
0.0,21,20.723415
0.0,19,21.090491
0.0,20,21.466154
0.0,20,21.887633
0.0,17,22.388392
0.0,17,22.918262
0.0,19,23.426871
0.0,80,24.339529
0.0,19,24.817196
0.0,20,25.190531
0.011122,21,25.554049
0.0,22,25.922023
0.0,20,26.286346
0.0,20,26.752616
0.0,23,27.312286
0.0,159,28.773146
0.0,19,29.151985
0.0,22,29.530996
0.003236,249,31.135077
0.0168,102,31.94097
0.0,21,32.312464
0.0,19,32.696813
0.0,22,33.113378
0.0,19,33.500395
0.021397,23,33.893649
0.0,21,34.256018
0.0,21,34.623042
0.025237,142,35.536584
0.0,18,35.895453
0.0,30,36.304121
0.0,19,36.666388
0.0,21,37.036252
0.0,22,37.416843
0.0,74,38.010464
0.0,65,38.580343
0.0,20,38.945176
0.0,105,39.873764
0.0,21,40.289693
0.0,116,41.131509
0.0,25,41.542771
0.013348,211,42.815351
0.0,18,43.189268
0.0,23,43.595953
0.0,72,44.207177
0.014688,77,44.832063
0.0,20,45.194409
0.015891,483,47.640153
0.0,18,47.98974
0.0,20,48.346107
0.0,21,48.705892
0.0,19,50.204733
0.0,18,50.561352
0.0,21,50.935658
0.0,21,51.30134
0.0,65,51.86686
0.0,23,52.242232
0.0,19,52.595
0.0,24,52.995911
0.0,63,53.547323
0.0,18,53.934483
0.0,22,54.382194
0.0,184,55.578922
0.007294,166,56.593138
0.0,18,56.957575
0.0,22,57.329027
0.0,27,57.715743
0.0,21,58.073473
0.0,19,58.430898
0.0,21,58.805864
0.0,21,59.190362
0.0,142,60.117357
0.0,21,60.491637
0.007907,21,60.863952
0.0,20,61.224128
0.0,134,62.083512
0.0,20,62.447264
0.0,26,62.819395
0.0,22,63.187454
0.0,20,63.543799
0.0,19,63.919529
0.0,20,64.293466
0.0,23,64.665687
0.0,21,65.030318
0.0,21,65.40087
0.0,20,65.764539
0.0,18,66.12763
0.016121,86,66.769955
0.0,23,67.136729
0.027281,201,68.306218
0.008186,74,68.901586
0.013819,21,69.272451
0.0,20,69.640314
0.0,21,70.005933
0.0,20,70.384153
0.0,20,70.738973
0.0,129,71.594424
0.0,27,71.988477
0.0,22,72.366325
0.0,20,72.731864
0.0,24,73.112122
0.0,23,73.493183
0.0,21,73.851437
0.0,22,74.225301
0.0,21,74.6175
0.023829,135,75.542896
0.0,30,75.945803
0.0,23,76.318313
0.0,19,76.670782
0.0,19,77.014159
0.0,19,77.37676
0.0,25,77.764476
0.0,21,78.123221
0.0,20,78.495099
0.0,19,78.837929
0.0,20,79.192448
0.0,22,79.558471
0.0,19,79.914265
0.0,19,80.267298
0.0,19,80.633148
0.0,19,80.994817
0.0,18,81.357502
0.0,150,82.331455
0.0,24,82.796316
0.0,20,83.309902
0.0,74,84.211362
0.0,22,84.755245
0.0,20,85.251656
0.0,21,85.646374
0.0,239,86.969578
0.0,19,87.320302
0.0,65,87.873927
0.0,18,88.232898
0.0,20,88.594104
0.0,21,88.956245
0.0,21,89.327547
0.0,19,89.692576
0.0,22,90.152789
0.0,21,90.756452
0.0,22,91.296862
0.0,18,91.811187
0.0,170,92.975012
0.0,22,93.337301
0.0,20,93.705083
0.0,18,94.051883
0.010183,434,97.452033
0.0,19,97.846317
0.0,22,98.201085
0.009089,21,98.558518
0.0,20,98.913654
0.0,184,100.011502
0.0,19,100.367472
0.025722,29,100.777644
0.007815,21,101.136256
0.0,21,101.506138
0.0,19,101.857821
0.0,21,102.228888
0.028103,96,102.93546
0.0,18,103.274771
0.003081,20,103.621614
0.133913,62,104.169344
0.0,20,104.530795
0.065876,73,105.117292
0.034993,148,106.062146
0.0,19,106.426586
0.004593,238,107.751192
0.0,20,108.121523
0.0,19,108.473534
0.0,22,108.852403
0.0,29,109.262891
0.0,19,109.623103
0.0,20,109.98752
0.0,75,110.598654
0.0,220,111.853842
0.0,19,112.218586
0.0,19,112.572148
0.0,25,112.995318
0.0,19,113.36481
0.026582,24,113.750744
0.0,21,114.114348
0.0,19,114.464009
0.0,24,114.861639
0.0,22,115.226119
0.0,22,115.590696
0.005595,121,116.419214
0.0,17,116.779429
0.0,25,117.176664
0.0,26,117.614769
0.0,93,118.348526
0.0,19,118.695512
0.000828,21,119.081088
0.0,19,119.447766
0.012103,21,119.831984
0.0,20,120.198811
0.0,22,120.558171
0.018622,209,121.769832
0.0,17,122.122903
0.0,20,122.475204
0.0,19,122.842068
0.0,67,123.412014
0.0,20,123.780965
0.0,19,124.14201
0.0,22,124.518322
0.022399,151,125.444651
0.015401,512,128.017017
0.0,18,128.376229
0.0,306,130.007241
0.005447,290,131.550165
0.0,18,131.891437
0.0,20,132.248278
0.0,18,132.591751
0.003958,167,133.574097
0.0,86,135.338359
0.0,20,135.706688
0.0,19,136.060145
0.0,17,136.399486
0.0,19,136.748616
0.0,22,137.125889
0.0,19,137.476354
0.0,18,137.840196
0.050902,203,139.066349
0.0,25,139.443331
0.0,19,139.789766
0.0,24,140.159606
0.0,234,141.461433
0.003152,19,141.806844
0.0,21,142.16297
0.0,29,142.583974
0.0,76,143.204312
0.0,24,143.581352
0.0,25,143.955093
0.0,22,144.375199
0.0,20,144.734462
0.0,23,145.11434
0.004159,22,145.490831
0.0,22,145.851221
0.0,21,146.210738
0.0,21,146.570562
0.0,17,146.920649
0.0,95,147.61177
0.0,20,147.968418
0.0,18,148.33172
0.0,21,148.71393
0.0,20,149.0745
