#{"t_start": 1704474924.3659196, "env_id": "None"}
r,l,t
39.542299,957,10.446251
73.957643,1315,23.664479
47.844831,909,32.809628
81.722761,844,41.2016
41.745963,526,49.456931
59.450189,686,56.717762
129.503669,1722,73.601379
146.442363,1984,95.736603
21.252688,200,98.276468
71.413754,1163,109.94131
41.638802,756,117.85632
55.577682,565,123.764333
111.296733,1372,140.970496
69.861816,829,149.791208
99.946814,1372,164.323549
72.93664,2001,187.83776
124.011424,1102,199.364637
74.000338,945,208.907958
58.420002,1094,220.604718
94.733928,1660,241.164491
45.777324,821,249.478251
48.344043,613,256.295777
108.432068,1320,273.45469
66.374525,999,283.859918
80.144926,1349,297.48107
45.976176,644,304.46784
60.19753,1389,321.488201
204.42192,1805,339.739481
33.843042,424,344.381129
81.385165,1135,355.876881
140.096868,1876,377.338009
82.403085,1393,390.82317
70.951804,960,400.410027
74.180673,860,411.846719
33.911907,727,419.518056
66.74939,1319,432.793308
40.523229,505,438.184364
69.291982,931,450.647817
60.576142,945,460.255131
119.407641,1566,476.672899
69.985696,1110,488.209119
96.136402,1602,507.103683
90.975235,1310,520.83544
53.898819,962,531.294742
222.502705,2001,555.000849
11.540756,63,556.222957
51.348285,654,563.630685
112.019199,1321,577.271398
141.770852,1627,596.51018
111.225217,1161,608.221572
57.627087,1210,620.728683
82.226255,1029,634.001047
21.415547,145,635.997296
190.433164,2001,657.148681
102.418604,1448,672.558062
88.310558,1434,689.888518
109.293473,1065,701.552379
30.616602,530,707.450116
95.172392,1270,721.241151
223.168104,2001,743.176982
93.64595,1476,757.509615
45.254651,693,766.874089
67.493231,960,776.469157
108.143757,1276,789.020657
88.934544,1137,801.304487
113.541329,1520,820.285346
135.989227,1379,835.245396
58.682244,1041,846.542317
161.85931,1942,870.197528
54.602913,799,878.860782
108.619878,1264,891.613505
102.617957,1637,910.738731
102.014302,1179,922.493743
90.030017,1205,935.035742
71.943039,666,942.112113
103.388182,1346,959.73553
63.121208,626,966.767656
12.830247,149,968.861569
93.91188,1545,985.122203
95.327318,1503,1004.020824
55.137683,534,1009.915474
35.539449,456,1014.913945
14.165935,184,1017.280342
52.590994,717,1025.017042
43.980041,541,1031.240874
124.297051,1484,1050.079736
122.64236,2001,1070.036306
96.908986,1180,1081.750336
190.411292,2001,1104.347049
105.738599,1914,1124.573407
68.651916,892,1137.286816
85.086427,1579,1153.349923
34.672906,598,1159.530361
71.382639,671,1166.600635
83.757872,1024,1180.143981
85.574534,876,1188.905777
94.837096,2001,1208.277961
91.743489,764,1216.142347
186.929065,2001,1238.536857
117.405046,1356,1251.682006
75.604289,1301,1267.636653
61.926638,799,1275.89798
116.900214,1340,1290.542459
14.880125,120,1292.282542
42.962409,457,1297.440816
113.555459,1376,1315.146296
122.543295,1297,1328.317816
136.37604,1673,1344.978858
100.199577,768,1352.982887
46.845054,427,1360.793387
108.258384,1629,1378.318399
180.824617,2001,1399.489891
120.966249,1259,1416.121925
42.449367,258,1419.335564
193.584422,2001,1441.49126
85.257724,1201,1457.822685
137.504904,1999,1479.54923
73.037175,702,1487.336014
82.109187,650,1494.706962
57.029611,766,1506.374133
141.791936,1478,1520.885382
68.868906,983,1530.918728
81.732606,932,1540.369325
53.378529,565,1548.986908
7.429334,121,1550.662512
143.74361,1051,1561.209347
92.330935,738,1568.828231
109.44821,1073,1580.179653
55.874269,893,1593.687535
54.557537,1041,1605.228459
75.965893,983,1615.985096
49.271725,588,1622.695165
79.607714,1194,1635.877628
89.924439,1470,1656.199516
95.993757,984,1667.301796
100.371459,1086,1679.479812
147.471191,2001,1704.071702
109.464687,1462,1720.272577
56.262253,573,1726.859135
159.335725,1791,1748.734167
69.849563,491,1754.391597
31.530403,330,1758.314543
87.224419,1042,1769.138511
76.890099,1200,1780.928823
110.279457,1027,1793.927709
40.103532,365,1798.150327
113.215766,1219,1811.468821
94.575682,815,1820.922178
145.980116,1486,1840.277084
88.805582,860,1849.697288
84.020223,1231,1863.212932
122.711271,965,1873.784967
92.826426,1188,1888.431374
118.733194,1295,1901.353342
46.160405,825,1909.9252
56.408868,572,1915.984269
70.483188,1588,1935.05272
254.476491,2001,1957.964715
146.483239,1351,1974.26183
124.474864,1310,1987.235476
86.020952,1363,2001.142951
148.028677,1572,2019.960919
103.205079,1397,2033.776759
78.296191,706,2041.124756
50.166416,471,2046.121783
81.804945,863,2055.112172
154.318283,1426,2072.855911
39.185615,373,2077.045241
129.69231,1100,2088.43892
69.55815,723,2096.104314
129.604392,1700,2116.465811
35.22363,583,2122.805624
55.334089,498,2128.051286
86.600333,843,2136.803949
44.538912,408,2141.101276
154.103175,1724,2160.844209
18.343299,167,2162.938963
154.408053,1614,2178.657468
125.538193,1331,2195.178564
11.302209,105,2196.797918
115.755126,1196,2209.159724
169.116151,1637,2225.863731
23.705545,187,2228.370716
192.952724,1590,2247.810183
20.7744,167,2249.937116
85.135725,1154,2261.369637
92.961392,934,2270.555013
8.338763,107,2272.164671
120.756344,978,2282.155836
244.285833,2001,2305.44004
73.536602,635,2312.065932
100.433503,1492,2327.129401
55.776189,437,2335.021351
80.177436,917,2344.970468
193.699576,1693,2361.842445
121.953535,1293,2378.515996
61.206685,528,2384.217548
56.331715,1068,2395.01763
83.008055,2001,2415.853565
39.337228,258,2418.985467
70.291929,585,2427.88973
22.007464,196,2430.223477
112.744119,1366,2443.773116
92.179902,1248,2456.18835
86.836634,1118,2470.227071
126.544116,1261,2483.556653
74.510131,921,2493.504013
68.505471,530,2498.984524
75.421731,757,2506.578954
98.574455,996,2519.404005
138.169974,1428,2533.70155
137.085812,2001,2556.056885
86.562979,905,2565.301334
