#{"t_start": 1704539241.125949, "env_id": "None"}
r,l,t
64.974663,999,10.121256
43.696651,1001,19.547446
38.260853,577,25.105019
88.498472,1001,34.443233
74.756522,1001,46.493237
61.049989,806,54.183386
46.126564,556,59.65285
60.361514,909,68.178397
53.600616,1001,77.523191
30.887298,645,86.366722
47.342573,534,91.588562
67.818682,1001,100.99057
90.651019,1001,110.356429
50.580673,1001,119.861208
75.527012,1001,131.903035
49.845465,1001,141.292181
76.831906,1001,150.678641
63.647759,973,159.843368
43.708064,476,167.081688
32.654875,380,170.926156
79.209206,1001,180.311454
82.353722,1001,189.666568
89.965775,1001,199.079892
82.170462,1001,211.034606
42.987167,1001,220.478091
49.499411,1001,229.828509
55.41823,1001,239.374713
49.224714,1001,251.302169
84.365655,1001,260.703357
46.547184,705,267.766384
56.629666,1001,277.870598
36.280258,428,282.381549
67.979672,1001,295.48322
76.640439,1001,305.672335
53.632093,600,311.962552
40.53171,455,316.582343
70.991809,1001,326.053467
57.364814,752,335.78024
76.452865,919,344.569366
68.987783,1001,354.047426
55.03442,904,362.62473
86.84033,1001,371.97773
60.941959,669,380.986305
36.84463,882,389.458256
83.123296,1001,398.900911
59.937043,787,406.402158
88.149898,1001,418.642766
30.179917,321,422.021119
59.2038,835,429.988523
52.225791,608,435.896274
60.823057,935,444.805093
91.082719,1001,454.285555
66.155375,1001,466.280263
52.08967,649,472.772787
51.958773,833,481.01521
35.572817,570,486.909719
93.93316,1001,496.915131
85.038447,1001,509.677481
39.517203,478,514.585962
56.936832,647,521.279848
74.841747,1001,531.563999
86.380478,1001,541.285666
90.075382,1001,553.708096
39.633819,519,558.853583
34.284606,708,566.078885
46.60829,515,571.339253
88.719035,1001,581.042639
46.845269,608,587.09978
56.945225,883,598.674477
54.527837,862,606.99819
44.261937,517,612.188478
64.36206,1001,621.88627
61.556032,1001,634.553109
63.223508,1001,644.247356
45.046895,559,649.896574
72.542582,1001,659.60856
40.722197,736,666.856097
57.729108,809,677.835315
45.108753,512,682.99714
68.582677,1001,692.634094
86.459444,1001,702.243877
