#{"t_start": 1702720911.4456093, "env_id": "None"}
r,l,t
4.177997,1001,9.899029
7.109795,1001,18.805696
5.855756,1001,27.836759
2.44634,1001,36.962889
5.187221,1001,48.624801
4.321703,1001,57.570023
4.098894,1001,66.510057
2.896522,1001,75.435683
5.887639,1001,87.213641
4.883603,1001,96.122678
5.011864,1001,105.014965
6.167051,1001,113.920835
6.03719,1001,125.544395
6.502802,1001,134.510136
4.613675,1001,143.452441
6.896532,1001,152.844164
4.125365,1001,164.981275
5.880387,1001,173.966951
6.841605,1001,182.921542
8.522963,1001,191.89198
3.583533,1001,203.909817
9.185176,1001,212.83319
6.534554,1001,221.74073
2.977966,1001,230.695648
5.684395,1001,242.666439
6.628914,1001,251.636739
7.260318,1001,260.607064
6.47914,1001,269.530096
5.716918,1001,281.547004
6.39676,1001,290.517297
4.023646,1001,299.456053
10.837147,1001,308.394974
7.325562,1001,320.319509
5.139948,1001,329.320993
5.062108,1001,338.22856
10.45332,1001,347.13603
11.185781,1001,359.106965
9.123398,1001,368.014579
4.326301,1001,376.922248
11.093415,1001,385.813883
6.369343,1001,397.753482
5.246522,1001,406.692392
5.114367,1001,415.678303
5.494373,1001,424.554641
5.271566,1001,433.446323
11.175344,1001,445.510866
10.190836,1001,454.559472
13.406809,1001,463.514119
11.61993,1001,472.468304
7.602227,1001,484.360773
8.149091,1001,493.361974
12.331227,1001,502.379168
9.191955,1001,511.271146
8.497118,1001,523.241297
7.67517,1001,532.117525
5.512543,639,537.977836
6.926257,1001,546.869896
6.50946,1001,558.809125
9.110015,1001,567.701091
13.717497,1001,576.593079
10.296821,1001,585.610294
6.814796,1001,597.658995
12.015299,1001,606.691778
11.399121,1001,616.181585
5.398977,888,625.132432
8.440137,1001,637.815721
6.303911,1001,647.175783
13.471363,1001,656.114744
14.183604,1001,665.006757
12.353112,1001,673.883162
7.63443,1001,686.263487
11.231941,1001,695.687722
5.278811,1001,704.979429
16.552119,1001,713.856087
9.859602,1001,725.734726
9.031111,1001,734.564038
10.833473,1001,743.409195
10.31924,1001,752.254311
1.367095,1001,764.052454
11.010872,1001,772.866104
14.758846,1001,781.711225
7.017493,1001,790.525101
8.226196,1001,802.356905
7.617589,1001,811.217593
7.261033,1001,820.049159
14.338423,1001,828.897242
8.590911,1001,840.760111
12.851837,1001,849.574829
13.69951,1001,858.420836
15.696459,1001,867.250636
12.25108,1001,879.348698
8.17317,1001,888.162538
11.03045,1001,896.976395
12.964203,1001,905.790823
11.09264,1001,917.638336
13.790219,1001,926.451123
10.474742,1001,935.297302
7.240192,826,942.68922
10.675136,1001,954.615661
14.01794,1001,963.41668
8.900824,1001,972.246252
12.476289,1001,981.748882
13.349816,1001,993.674184
8.88352,1001,1002.677732
12.138525,1001,1011.901382
9.152895,1001,1020.760518
13.756105,1001,1029.574758
19.388025,1001,1041.436923
15.951529,1001,1050.346494
16.490983,1001,1059.254857
14.232959,1001,1068.099742
15.790021,1001,1079.980328
15.259647,1001,1088.840159
16.855971,1001,1097.735106
17.704796,1001,1106.581161
19.333251,1001,1118.631661
17.429672,1001,1127.478213
15.726377,1001,1136.357227
15.944385,1001,1145.189235
9.037006,1001,1157.098798
16.026094,1001,1165.961763
13.248998,1001,1174.823524
15.723808,1001,1183.622174
18.12192,1001,1195.531416
14.392991,1001,1204.34558
12.327021,1001,1213.379042
12.752114,1001,1222.215066
13.407779,1001,1234.249881
19.70848,1001,1243.128554
14.754906,1001,1251.992358
18.066996,1001,1260.853738
15.455806,1001,1272.747701
17.245211,1001,1281.657297
16.177317,1001,1290.51944
17.956327,1001,1299.334003
11.976649,1001,1311.32349
15.845035,1001,1320.154888
24.071519,1001,1328.984646
15.533181,1001,1337.816108
19.363264,1001,1349.72684
11.238517,1001,1358.667918
16.296916,1001,1367.499666
17.492022,1001,1376.316221
18.115982,1001,1388.210511
11.100195,1001,1397.057775
17.229341,1001,1405.90285
19.922332,1001,1414.734944
15.468249,1001,1426.599406
19.37036,1001,1435.477386
15.877037,1001,1444.291874
13.357703,1001,1453.170368
18.174453,1001,1462.000229
18.102548,1001,1473.84955
17.778887,1001,1482.713507
18.230317,1001,1491.574816
17.604817,1001,1500.404455
19.246266,1001,1512.30169
16.376429,1001,1521.147959
17.899358,1001,1529.979686
19.301665,1001,1538.795866
21.980822,1001,1550.660022
21.482529,1001,1559.492854
14.158619,1001,1568.324367
19.429183,1001,1577.202583
25.82291,1001,1589.254124
24.53381,1001,1598.117602
16.717328,1001,1606.9637
23.75568,1001,1615.888972
19.57975,1001,1627.768363
16.518217,1001,1636.613162
19.976126,1001,1645.45827
