#{"t_start": 1704655823.27201, "env_id": "None"}
r,l,t
1.756371,21,0.563152
1.915222,21,0.91473
1.878252,21,1.236004
1.765603,21,1.565959
72.507722,699,4.28262
1.956845,21,4.569765
1.718053,19,4.878146
1.773528,19,5.203089
1.898813,21,5.533561
1.8186,20,5.855996
1.5238,18,6.143858
1.991066,23,6.446319
1.391608,18,6.712939
2.731223,29,7.018181
1.408735,22,7.311558
27.367991,289,8.624734
2.088907,24,8.982742
16.419035,347,10.607692
19.253637,162,11.419702
1.973132,21,11.69465
1.434388,21,11.970242
1.390824,19,12.24966
1.775477,21,12.556396
2.153132,23,12.870813
1.636126,19,13.184968
1.445037,18,13.473318
1.825838,20,13.762845
1.731381,20,14.066333
1.772133,20,14.379319
1.552767,19,14.681508
1.454531,20,14.953836
2.022258,22,15.238562
1.702207,20,15.509203
1.424769,21,15.785578
19.317005,203,16.666974
2.122175,25,16.96275
1.936387,24,17.264885
1.783933,22,17.579057
7.075512,139,18.353878
9.578907,268,19.4944
1.921177,21,19.783932
1.84696,21,20.081602
1.497659,20,20.362644
1.82074,21,20.643975
8.11453,74,21.116808
1.660018,21,21.399351
1.572333,19,21.668389
14.858385,157,22.428553
1.579742,19,22.701994
1.730471,22,22.982014
1.738424,21,23.263429
2.319916,26,23.553507
1.69279,23,23.829195
1.305413,19,24.095559
1.354246,19,24.360139
1.585747,20,24.626589
1.631947,19,24.891836
1.774658,21,25.177775
1.55392,19,25.466615
1.472402,19,25.740053
8.384422,75,26.207583
1.611263,19,26.488064
1.687571,21,26.763773
31.006889,225,27.720308
1.700861,21,27.99535
27.61708,256,29.046732
1.572825,21,29.321576
2.19683,26,29.610888
1.559093,18,29.875953
1.326165,19,31.038616
2.13977,25,31.332622
21.205073,190,32.193436
1.572224,19,32.46261
1.461668,20,32.74531
1.587883,19,33.021486
1.678666,20,33.29065
2.011583,21,33.563011
7.737589,105,34.118257
9.875371,291,35.33507
21.545643,200,36.21988
2.051619,23,36.505913
2.46229,25,36.793792
2.003909,22,37.075874
8.796282,89,37.594644
1.895975,20,37.875628
18.723626,193,38.725359
1.679139,18,38.999276
1.706183,21,39.282631
5.554693,67,39.718776
16.244636,130,40.36909
1.577733,19,40.636279
3.014849,30,40.944892
1.919206,22,41.228261
1.856667,20,41.505589
11.594705,96,42.02883
29.289763,224,43.001195
1.763403,21,43.279526
1.983479,22,43.572679
1.651084,21,43.887773
1.407442,19,44.19341
1.591416,20,44.501214
1.400523,18,44.780915
6.680112,70,45.224246
1.817765,20,45.504877
12.713001,104,46.131679
15.071609,230,47.144258
1.904149,21,47.430353
13.623141,121,48.067796
2.805615,29,48.379849
2.026845,23,48.674038
11.423147,271,49.812358
1.76451,20,50.09385
1.716295,23,50.404005
25.467291,433,52.183407
1.778648,22,52.471989
1.49439,19,52.746362
1.905222,21,53.024325
1.562199,18,53.292251
1.951987,21,53.576129
1.636389,21,53.850539
1.97113,22,54.133565
1.558097,21,54.418391
1.646885,20,54.705996
7.181089,64,55.138319
1.787233,19,55.415557
1.822758,20,55.696028
10.599825,122,56.324093
1.614825,19,56.597361
13.087714,222,57.565881
1.935939,22,57.861164
1.459787,19,59.043251
14.477458,151,59.776209
1.64791,20,60.04995
