#{"t_start": 1704666903.216269, "env_id": "None"}
r,l,t
0.015866,18,0.444169
0.029004,23,0.743633
0.019971,20,1.042028
0.022699,19,1.327974
0.01852,21,1.637552
0.022311,22,1.942629
0.027661,24,2.261842
0.016636,20,2.577861
0.01538,19,2.880559
0.024796,20,3.197956
0.887572,329,4.565929
0.016688,19,4.861101
0.046823,24,5.183136
0.021126,19,5.517443
0.050651,29,5.918691
0.015937,18,6.23468
0.015223,18,6.569374
0.019912,20,6.896218
0.024914,20,7.211005
0.015281,21,7.559725
0.01422,18,7.846322
0.015761,19,8.149753
0.016883,23,8.491453
0.040103,27,8.824567
0.316119,102,9.412403
0.013309,21,9.729531
0.023008,19,10.030048
0.020286,19,10.33418
0.034583,21,10.645188
0.476773,254,11.731811
0.010461,20,12.016302
0.034543,22,12.310328
0.136383,60,12.741479
0.019266,18,13.045472
0.378924,259,14.275524
0.227257,97,14.825989
0.005741,18,15.096177
0.032656,23,15.386244
0.488556,205,16.307018
0.885899,281,17.494749
0.01803,21,17.780999
0.043058,25,18.085309
0.635297,219,19.299881
0.031151,19,19.623261
0.017038,19,19.89735
0.012513,18,20.169521
0.009473,19,20.450707
0.022073,19,20.726102
0.012666,18,21.001102
0.011601,18,21.273179
0.038238,22,21.562045
0.01608,20,21.852601
0.025486,20,22.133415
0.266561,134,22.829935
0.010312,20,23.129533
0.022443,22,23.42084
0.020728,22,23.709059
0.018927,20,23.994129
0.050758,29,24.345329
0.014431,20,24.668269
0.010644,19,24.992635
0.216289,86,25.501076
0.018411,20,25.785814
0.010219,19,26.060876
0.012534,18,26.344429
0.028279,21,26.642529
0.030152,21,26.927779
0.346148,126,27.584998
0.014998,20,27.86693
0.017336,18,28.136178
0.015861,18,28.420792
0.095483,182,29.264449
0.023437,23,29.56221
0.014628,18,29.832928
0.040121,27,30.138051
0.039006,23,30.428171
0.013341,19,30.70283
0.022856,24,30.993732
0.026145,24,31.292469
0.167291,102,31.857752
0.033591,22,32.141905
0.106606,70,32.589894
0.034654,20,32.871817
0.037881,25,33.175399
0.47064,150,33.912993
0.016726,19,35.191702
0.024072,20,35.475166
0.022506,19,35.749358
0.020207,18,36.022881
0.129854,92,36.555042
0.018925,20,36.837631
0.027343,23,37.1316
0.029842,21,37.426547
0.019409,20,37.716069
0.026386,19,38.021972
0.020873,20,38.306166
0.03074,22,38.601321
0.028564,21,38.888656
0.028853,20,39.172807
1.314242,495,41.142272
0.138316,91,41.752878
0.019289,20,42.077885
0.039496,28,42.442593
0.02957,21,42.754366
0.015436,21,43.086078
0.025471,20,43.384566
0.020444,19,43.670794
0.023338,21,43.958395
0.009681,17,44.238254
0.017871,19,44.524929
