#{"t_start": 1702668154.8585, "env_id": "None"}
r,l,t
0.077633,237,3.128869
0.007868,157,5.029663
0.0,65,6.113004
0.004281,188,8.24526
0.002414,192,10.366763
0.00328,151,12.154173
0.0,52,13.125862
0.0,60,14.178038
0.0,103,15.594078
0.0,72,16.815947
0.00727,68,17.984504
0.0,55,19.032034
0.0,45,19.967952
0.004226,67,21.053765
0.015477,167,23.172251
0.007042,490,28.361664
0.0,60,29.411022
0.0,44,30.330998
0.003171,44,31.227587
0.008029,70,32.302192
0.0,321,35.541912
0.003631,67,36.604393
0.002591,70,37.667144
0.005466,46,38.576445
0.010481,63,39.579959
0.0,62,40.605823
0.937878,365,44.394511
0.224532,219,47.029931
0.002386,658,55.938393
0.005702,54,56.897989
0.034284,221,59.286556
0.0,157,61.242751
0.009969,43,62.16895
0.0,54,63.15932
0.011237,48,64.043358
0.0,63,65.081522
0.00927,81,66.28073
0.011268,43,67.170592
0.004468,82,68.354638
0.0,67,69.427309
0.0,123,71.074563
0.0,154,73.090898
0.0,235,75.660606
0.0,184,77.811583
0.712298,261,81.030512
0.0,66,82.148621
0.417528,377,86.235695
0.0,542,91.775103
0.003769,59,92.853817
0.224426,260,95.679296
0.0,61,96.747642
0.003292,70,97.937657
0.0,43,98.87118
0.00041,63,100.001168
0.07041,302,103.228877
0.0,78,104.488632
0.001359,61,105.582136
0.095696,154,111.061342
0.003232,97,112.660664
1.576689,484,117.422116
0.0,93,118.687973
0.000771,138,120.387243
0.069345,407,124.427273
0.0,56,125.441524
0.005006,109,126.901975
0.007685,220,129.245929
0.007745,63,130.296381
0.0,123,131.845531
0.0,49,132.785098
0.000514,56,133.770191
0.076842,155,135.601537
0.101056,292,138.616089
0.0,56,139.619096
0.013408,280,142.520388
0.003969,63,143.555742
0.00573,52,144.494156
0.040952,148,146.326547
0.398422,403,150.24583
0.0,50,151.182201
0.03872,119,152.681651
0.004288,625,161.675821
0.0,64,162.711404
0.086073,182,164.769929
0.0,65,165.848911
0.554939,340,169.300984
0.0,48,170.235319
0.036375,130,171.88426
0.0,62,172.920766
7.4e-05,68,174.002631
0.07596,196,176.207267
0.211797,153,178.025749
0.001963,159,179.858787
0.675566,323,183.098776
0.0,232,185.585767
0.004085,143,187.28715
0.000896,192,189.420572
0.005036,62,190.473358
0.0,66,191.569803
0.383626,217,193.940115
0.0,63,194.974642
0.006347,180,197.012705
0.007025,489,201.693492
0.006201,52,202.630986
0.126198,164,204.50717
0.008708,59,205.521865
0.0,52,206.451115
0.009475,61,207.451348
0.0,62,208.467044
0.010201,55,209.435852
0.0,61,213.582697
0.005845,112,215.085961
0.100732,151,216.83615
0.924585,229,219.258412
0.014371,174,221.263108
0.321529,295,224.415281
0.0,55,225.360865
1.448647,441,229.590291
0.00064,53,230.512134
0.0,68,231.577522
0.00152,55,232.52913
0.253417,147,234.26057
0.000719,156,236.065677
0.0,224,238.455866
0.010032,177,240.428396
0.0,422,244.474761
0.177133,215,246.745776
0.0,180,248.749015
0.267174,277,251.563243
0.001367,63,252.581138
0.001388,103,253.95977
0.004036,59,254.950993
0.004693,187,257.006507
0.009533,54,257.958621
0.0,45,258.823307
0.0,264,264.199823
0.000206,54,265.137763
0.04319,289,268.064374
0.005698,45,268.931418
0.0,66,269.987171
0.201,235,272.461708
0.006672,59,273.440821
0.043733,216,275.743532
0.09853,400,279.653083
0.01022,141,281.393269
0.009576,52,282.326186
0.685208,146,284.062097
3.2e-05,171,286.002112
0.006204,71,287.096821
0.0,277,289.91532
0.0,181,291.937197
0.008528,52,292.852595
0.228446,164,294.718125
0.00849,171,296.637849
0.002554,184,298.670007
0.0,201,300.84502
0.002198,142,302.535847
0.017662,67,303.584548
0.0,49,304.488515
0.184887,160,306.318682
0.010448,158,308.147115
0.006313,171,310.072204
0.001814,68,313.819238
0.000373,67,314.88759
0.0,51,315.815725
0.0,289,318.722654
0.004366,230,321.117578
0.001234,63,322.139014
0.482852,503,326.835809
0.000545,44,327.699343
0.269772,162,329.548005
0.009623,215,331.837597
0.004968,72,332.941586
0.842451,232,335.376872
0.0,157,337.17472
0.096499,79,338.321485
0.015724,178,340.281512
0.003519,97,341.602699
0.022687,172,343.618204
0.027415,273,346.372994
0.001218,73,347.498392
0.010385,59,348.497541
0.0,58,349.481382
0.002994,67,350.531657
0.0,151,352.298547
0.002686,63,353.331964
0.008138,54,354.287827
0.001743,144,355.983233
0.006099,54,356.935713
0.007552,90,358.206826
